,Province,Country_Region,Date,Day,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,Balochistan,Pakistan,3/10/2020,10,3,2020,28.328491999999997,65.898403,1,1,0,0,4391.17,13219.63,744.92,0.0,0.0,0.0,53928.96,9160.53,212387.64,0.0,0.0,0.0,13398367.25,4.349,1,1,1.0641,0,0.0006,1,25.87,106.47,0.0,8.42,34.66,0.0,6767,201,46.29,15.0,31.43,0.0,Haze.
1,Islamabad,Pakistan,3/10/2020,10,3,2020,33.665087,73.121219,2,2,0,0,303.78,830.03,71.07,0.0,0.0,0.0,3279.76,615.53,10734.78,0.0,0.0,0.0,2155173.482,3.1968,1,1,1.0688,0,0.0005,1,2.56,14.44,0.0,0.83,4.7,0.0,2567,52,33.71,0.0,0.0,0.0,Sunny.
2,Punjab,Pakistan,3/10/2020,10,3,2020,30.811346,72.13913199999999,0,0,0,0,31937.11,126144.01,2945.82,0.0,0.0,0.0,198804.13,14977.53,813930.59,0.0,0.0,0.0,113939260.1,5.3669,1,1,1.0667,0,0.0001,1,37.36,147.77,0.0,12.16,48.1,0.0,51809,1601,61.54,5.19,56.79,23.12,Clear.
3,Sindh,Pakistan,3/10/2020,10,3,2020,26.009446,68.77680699999999,0,0,0,0,7191.18,19243.21,2463.81,0.0,0.0,0.0,49319.53,16346.08,127723.64,0.0,0.0,0.0,49907675.66,0.1035,1,1,1.0623,0,0.0712,1,7.79,51.86,0.0,2.53,16.88,0.0,31732,848,33.71,0.0,0.0,0.0,Sunny.
4,Khyber Pakhtunkhwa,Pakistan,3/10/2020,10,3,2020,34.485332,72.09169,0,0,0,0,11384.85,35439.52,1084.85,0.0,0.0,0.0,85730.58,6780.53,253710.52,0.0,0.0,0.0,38100470.55,5.5444,1,1,1.0689,0,0.0,1,56.19,196.56,0.0,18.29,63.98,0.0,23948,643,48.8,4.64,49.2,23.21,Fog.
5,Azad Jammu and Kashmir,Pakistan,3/10/2020,10,3,2020,34.027401,73.947253,0,0,0,0,117.65,477.36,12.16,0.0,0.0,0.0,1287.02,178.89,5267.62,0.0,0.0,0.0,4334762.096,4.2628,1,1,1.0688,0,0.0,1,1.41,8.85,0.0,0.46,2.88,0.0,2009,59,39.86,1.86,42.43,0.0,Clear.
6,Gilgit-Baltistan,Pakistan,3/10/2020,10,3,2020,35.792146,74.982138,2,2,0,0,1817.7,6314.85,423.25,0.0,0.0,0.0,27059.57,5792.93,93748.33,0.0,0.0,0.0,2227137.68,4.2628,1,1,1.07,0,0.001,1,14.65,44.21,0.0,4.77,14.39,0.0,1423,36,32.71,3.71,23.57,12.82,Fog.
7,Balochistan,Pakistan,3/11/2020,11,3,2020,28.328491999999997,65.898403,1,0,0,0,4362.51,13022.11,744.42,0.0,0.0,0.0,58291.48,10079.84,223649.59,0.0,0.0,0.0,13398367.25,4.2197,1,1,1.0625,0,0.0011,1,49.26,190.88,7.65,15.65,60.65,2.43,6767,201,31.71,7.0,45.71,0.0,Overcast.
8,Islamabad,Pakistan,3/11/2020,11,3,2020,33.665087,73.121219,2,0,0,0,325.37,877.49,78.55,0.0,0.0,0.0,3605.13,687.99,11595.61,0.0,0.0,0.0,2155173.482,2.5721,1,1,1.0671,0,0.0009,1,4.99,22.26,0.28,1.59,7.07,0.09,2567,52,77.14,6.43,30.43,21.28,Overcast.
9,Punjab,Pakistan,3/11/2020,11,3,2020,30.811346,72.13913199999999,0,0,0,0,35543.64,139083.67,3503.77,0.0,0.0,0.0,234347.77,18481.3,953014.26,0.0,0.0,0.0,113939260.1,5.2378,1,1,1.0651,0,0.0001,1,80.99,261.94,8.15,25.74,83.23,2.59,51809,1601,66.81,1.65,20.31,9.32,Clear.
