Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Azad Jammu and Kashmir,Pakistan,2021-01-02 05:22:33,34.027401,73.947253,8303.0,224.0,7691.0
Balochistan,Pakistan,2021-01-02 05:22:33,28.328492,65.898403,18181.0,184.0,17752.0
Gilgit-Baltistan,Pakistan,2021-01-02 05:22:33,35.792146,74.982138,4862.0,101.0,4713.0
Islamabad,Pakistan,2021-01-02 05:22:33,33.665087,73.121219,38020.0,421.0,34617.0
Khyber Pakhtunkhwa,Pakistan,2021-01-02 05:22:33,34.485332,72.09169,59023.0,1661.0,53942.0
Punjab,Pakistan,2021-01-02 05:22:33,30.811346,72.13913199999998,139341.0,4085.0,124125.0
Sindh,Pakistan,2021-01-02 05:22:33,26.009446,68.77680699999999,216632.0,3582.0,196134.0
Azad Jammu and Kashmir,Pakistan,2022-01-02 04:20:52,34.027401,73.947253,34665.0,746.0,
Balochistan,Pakistan,2022-01-02 04:20:52,28.328492,65.898403,33644.0,364.0,
Gilgit-Baltistan,Pakistan,2022-01-02 04:20:52,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-02 04:20:52,33.665087,73.121219,108720.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-02 04:20:52,34.485332,72.09169,181430.0,5932.0,
Punjab,Pakistan,2022-01-02 04:20:52,30.811346,72.13913199999998,445228.0,13073.0,
Sindh,Pakistan,2022-01-02 04:20:52,26.009446,68.77680699999999,482411.0,7673.0,
Azad Jammu and Kashmir,Pakistan,2021-01-03 05:22:52,34.027401,73.947253,8325.0,226.0,7723.0
Balochistan,Pakistan,2021-01-03 05:22:52,28.328492,65.898403,18218.0,185.0,17760.0
Gilgit-Baltistan,Pakistan,2021-01-03 05:22:52,35.792146,74.982138,4866.0,101.0,4716.0
Islamabad,Pakistan,2021-01-03 05:22:52,33.665087,73.121219,38146.0,424.0,34940.0
Khyber Pakhtunkhwa,Pakistan,2021-01-03 05:22:52,34.485332,72.09169,59255.0,1672.0,54383.0
Punjab,Pakistan,2021-01-03 05:22:52,30.811346,72.13913199999998,140188.0,4109.0,124461.0
Sindh,Pakistan,2021-01-03 05:22:52,26.009446,68.77680699999999,217636.0,3594.0,196677.0
Azad Jammu and Kashmir,Pakistan,2022-01-03 02:22:25,34.027401,73.947253,34667.0,746.0,
Balochistan,Pakistan,2022-01-03 02:22:25,28.328492,65.898403,33644.0,364.0,
Gilgit-Baltistan,Pakistan,2022-01-03 02:22:25,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-03 02:22:25,33.665087,73.121219,108755.0,967.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-03 02:22:25,34.485332,72.09169,181469.0,5933.0,
Punjab,Pakistan,2022-01-03 02:22:25,30.811346,72.13913199999998,445445.0,13074.0,
Sindh,Pakistan,2022-01-03 02:22:25,26.009446,68.77680699999999,482826.0,7673.0,
Azad Jammu and Kashmir,Pakistan,2021-01-04 05:22:02,34.027401,73.947253,8357.0,226.0,7758.0
Balochistan,Pakistan,2021-01-04 05:22:02,28.328492,65.898403,18247.0,185.0,17812.0
Gilgit-Baltistan,Pakistan,2021-01-04 05:22:02,35.792146,74.982138,4867.0,101.0,4716.0
Islamabad,Pakistan,2021-01-04 05:22:02,33.665087,73.121219,38263.0,428.0,35093.0
Khyber Pakhtunkhwa,Pakistan,2021-01-04 05:22:02,34.485332,72.09169,59484.0,1675.0,54519.0
Punjab,Pakistan,2021-01-04 05:22:02,30.811346,72.13913199999998,140714.0,4124.0,125129.0
Sindh,Pakistan,2021-01-04 05:22:02,26.009446,68.77680699999999,218597.0,3611.0,197430.0
Azad Jammu and Kashmir,Pakistan,2022-01-04 04:22:17,34.027401,73.947253,34672.0,746.0,
Balochistan,Pakistan,2022-01-04 04:22:17,28.328492,65.898403,33648.0,365.0,
Gilgit-Baltistan,Pakistan,2022-01-04 04:22:17,35.792146,74.982138,10429.0,186.0,
Islamabad,Pakistan,2022-01-04 04:22:17,33.665087,73.121219,108823.0,967.0,
