Province,Country_Region,Date,Lat,Long_,Confirmed,Deaths,Recovered,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,Temp,Wind,Barometer,Visibility,Weather
Azad Jammu and Kashmir,Pakistan,1/2/2021,34.027401,73.947253,8303,224,7691,3808.83,6326.4,2194.09,2605.63,1307.86,4492.72,1376071,1102620,1656590,15.72,7.88,27.12,1.36,1.36,1.36,225.45,225.06,226.08,21.67,21.67,21.67,0,0,0,1376071,1102620,1656590,0,0,0,3808.828,2194.094,6326.396,4334762,6.8461,1,1,1.1427,0,0.4409,1,421.45,616.7,247.72,74.07,108.39,43.54,44.32,87.53,18.54,0,0,0,44.31568,87.53122,18.54005,26.86,1.43,42.71,0,Clear.
Balochistan,Pakistan,1/2/2021,28.328492,65.898403,18181,184,17752,7796.48,10691.6,4778.34,5975.59,3273.25,10277.55,5874289,3920651,7237508,16.24,8.9,27.92,0.5,0.5,0.5,184.37,184.23,184.61,22.67,22.67,22.67,0,0,0,5874289,3920651,7237508,0,0,0,7796.479,4778.336,10691.6,13398367,15.4664,1,1,1.1328,0,0.2837,1,517.42,904.37,258.48,90.94,158.95,45.43,51.53,99.96,24.12,0,0,0,51.53468,99.96011,24.12189,10.43,2.43,8,0,Clear.
Gilgit-Baltistan,Pakistan,1/2/2021,35.792146,74.982138,4862,101,4713,141.94,291.55,75.81,1961.34,1014.8,3442.25,1122036,640479.5,1507038,0.77,0.41,1.33,0.04,0.04,0.04,101.76,101.51,102.15,2.53,2.53,2.53,0,0,0,1122036,640479.5,1507038,0,0,0,141.9384,75.8127,291.5493,2227138,6.8461,1,1,1.1452,0,0.3241,1,39.91,69.1,19.8,7.01,12.14,3.48,2.4,5.13,1.03,0,0,0,2.395434,5.133114,1.029408,27.86,0.71,12.14,4.3,Fog.
Islamabad,Pakistan,1/2/2021,33.665087,73.121219,38020,421,34617,1909.63,3303.93,834.86,1241.11,751.98,2026.03,766219,408953,1090104,6.9,4.18,11.28,2.37,2.36,2.37,425.89,424.56,427.57,141.46,141.46,141.46,0,0,0,766219,408953,1090104,0,0,0,1909.634,834.8595,3303.932,2155173,4.8095,1,1,1.1425,0,0.5304,1,292.59,452.71,140.34,51.43,79.57,24.67,26.61,43.25,11.48,0,0,0,26.60619,43.25321,11.48248,32.57,4,28,17.15,Clear.
Khyber Pakhtunkhwa,Pakistan,1/2/2021,34.485332,72.09169,59023,1661,53942,73123.81,99366.35,42331.38,30727,14625.72,55643.64,22078310,13554399,25957961,176.87,84.18,320.32,9.57,9.57,9.57,1663.12,1662.83,1663.57,282.6,282.6,282.6,0,0,0,22078310,13554399,25957961,0,0,0,73123.81,42331.38,99366.35,38100471,16.343,1,1,1.1429,0,0.3697,1,5628.72,10724.62,2638.66,989.3,1884.96,463.77,466.71,1027.98,171.97,0,0,0,466.71,1027.979,171.9671,44.34,3.86,36.73,23.24,Passing clouds.
Punjab,Pakistan,1/2/2021,30.811346,72.139132,139341,4085,124125,122160.1,165805.4,87455.22,71105.05,36486.22,124694.2,36106197,28915790,44117852,500.67,256.89,878.02,28.79,28.79,28.79,4088.48,4088.21,4088.89,677.67,677.67,677.67,0,0,0,36106197,28915790,44117852,0,0,0,122160.1,87455.22,165805.4,113939260,8.1088,1,1,1.1382,0,0.4174,1,15858.27,24536.2,8777.05,2787.25,4312.48,1542.65,1367.06,2409.71,644.18,0,0,0,1367.064,2409.708,644.1823,44.77,0.96,3.6,5,Passing clouds.
Sindh,Pakistan,1/2/2021,26.009446,68.776807,216632,3582,196134,119042.1,150409.2,94336.54,41442.56,21985.05,70169.37,28070705,21997782,34105393,196.22,104.09,332.24,16.79,16.79,16.79,3545.78,3545.43,3546.3,1047.67,1047.67,1047.67,0,0,0,28070705,21997782,34105393,0,0,0,119042.1,94336.54,150409.2,49907676,3.6761,1,1,1.1291,0,0.5376,1,7641.46,11098.36,4589.36,1343.06,1950.65,806.62,736.08,1154.62,419.94,0,0,0,736.0807,1154.621,419.945,32.57,4,28,17.15,Clear.
Azad Jammu and Kashmir,Pakistan,1/2/2022,34.027401,73.947253,34665,746,,3480.68,12706.38,1124.77,8644.4,4334.73,14911.04,3772666,3083892,4681277,0.03,0.03,0.03,0,0,0.01,747.86,746.97,749.33,2.96,2.96,2.96,67469.53,52368.77,97038.13,3705196,3031137,4582965,1490.95,467.2226,5508.687,1989.735,657.5498,7197.694,4334762,40.8297,1,1,1.1427,0,0.3731,1,53.59,125.57,21.8,9.41,21.25,3.89,3.39,8.37,0.86,1.350001,3.380239,0.3426277,2.036696,4.989993,0.5172885,47.57,2,35.71,0,Clear.
Balochistan,Pakistan,1/2/2022,28.328492,65.898403,33644,364,,2779.54,6849.61,667.23,11828.4,6480.4,20342.23,9816766,6712374,12281541,11.61,6.36,19.95,0.36,0.36,0.36,364.96,364.64,365.4,3.67,3.67,3.67,96433.63,67135.22,138705.4,9720333,6639115,12155174,884.1452,198.1246,2289.541,1895.391,469.1019,4558.159,13398367,39.8137,1,1,1.1328,0,0.2581,1,114.8,270.14,41.68,20.19,46.75,7.41,4.28,9.78,0.75,1.298854,2.975467,0.2264478,2.984857,6.800451,0.5187719,45.71,8.86,73.43,0,Overcast.
Gilgit-Baltistan,Pakistan,1/2/2022,35.792146,74.982138,10429,186,,482.25,968.94,233.33,3605.14,1866.71,6324.46,1911203,1265661,2567191,0.02,0.01,0.03,0,0,0,187.07,186.51,187.95,0.03,0.03,0.03,19437.86,11596.23,29522.68,1891765,1249214,2538571,166.8435,80.20017,339.9311,315.4073,153.1293,629.0104,2227138,39.1973,1,1,1.1452,0,0.3545,1,0.43,1.02,0.11,0.09,0.21,0.02,0.02,0.04,0.01,0.006677538,0.01261491,0.002595344,0.01367519,0.02576276,0.005503592,44,2.43,24.57,12.94,Passing clouds.
Islamabad,Pakistan,1/2/2022,33.665087,73.121219,108720,967,,7386.18,17777.91,2905.49,2838.76,1720.05,4634.04,1621365,875742.4,2453124,0.03,0.03,0.03,0.01,0.01,0.02,974.14,971.06,978.01,54.67,54.67,54.67,63904.12,21074.91,156615.7,1557461,852898.8,2332956,3139.902,1187.756,7645.171,4246.283,1715.664,10132.74,2155173,20.7351,1,1,1.1425,0,0.3502,1,47.51,108.78,23.78,8.44,19.86,4.25,8.98,29.4,3.54,3.584032,12.06834,1.277415,5.396498,17.33462,2.26681,72.57,9.43,64.43,34.43,Clear.
Khyber Pakhtunkhwa,Pakistan,1/2/2022,34.485332,72.09169,181430,5932,,83941.82,343204.8,12338.07,109617.4,52170.59,198515.9,55737803,28273319,90958673,29.06,13.85,52.61,1.57,1.57,1.57,5933.01,5932.38,5934.03,35.1,35.1,35.1,1738322,401061.9,5706979,53999481,27852704,86127284,31032.48,4292.197,128678.3,52909.34,8043.942,214526.5,38100471,52.7466,1,1,1.1429,0,0.2756,1,1130.96,4539.91,299.44,198.74,794.64,53.51,154.96,705.23,19.6,64.40476,295.2508,7.436464,90.55573,409.9824,12.05039,35.8,2.8,30.77,15.11,Passing clouds.
Punjab,Pakistan,1/2/2022,30.811346,72.139132,445228,13073,,270680.4,717544.2,144345.2,227366.4,116664.9,398729.8,84776884,64781492,108864129,24.88,12.78,43.6,1.43,1.43,1.43,13073.32,13072.71,13074.26,187.6,187.6,187.6,2239053,1252217,4186928,82537831,63572430,104931039,113401,60111.73,301634.1,157279.3,84230.36,415910.1,113939260,44.0467,1,1,1.1382,0,0.4327,1,1239.51,3323.33,580.13,219.25,625.3,102.82,173.61,512.29,74.1,77.05072,229.7528,32.25382,96.55913,281.2399,42.8288,48.71,1.35,11.17,6.91,Passing clouds.
Sindh,Pakistan,1/2/2022,26.009446,68.776807,482411,7673,,476718.7,1137725,250305.8,89249.45,47347.22,151113.3,56897812,42487931,77014729,15.89,8.44,26.89,1.36,1.36,1.36,7636.1,7635.27,7637.36,385.53,385.53,385.53,2849735,1458249,6034417,54048077,40821136,70891405,195438.7,101039.1,476617.3,281280,149266.7,659414.8,49907676,29.2039,1,1,1.1291,0,0.4119,1,1942.44,6042.63,845.27,344.57,1068.97,149.1,310.87,1067.88,103.9,130.1249,459.1628,41.76454,180.7463,608.7126,62.14037,72.57,9.43,64.43,34.43,Clear.
Azad Jammu and Kashmir,Pakistan,1/3/2021,34.027401,73.947253,8325,226,7723,3828.62,6647.49,2271.4,2622.17,1316.15,4521.27,1379900,1105308,1660816,16.55,8.29,28.55,1.43,1.43,1.43,226.88,226.49,227.51,22.53,22.53,22.53,0,0,0,1379900,1105308,1660816,0,0,0,3828.622,2271.401,6647.492,4334762,6.9408,1,1,1.1441,0,0.4371,1,434.11,676.82,247.82,75.91,118.35,43.33,49.36,93.48,19.84,0,0,0,49.35672,93.47885,19.83718,32.43,0.86,22.57,0,Sunny.
