,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,2,Gilgit-Baltistan,Pakistan,3/10/2020,3,2020,35.792146,74.982138,2,2,0,0,1817.7,6314.85,423.25,0.0,0.0,0.0,27059.57,5792.93,93748.33,0.0,0.0,0.0,2227137.68,4.2628,1,1,1.07,0,0.001,1,14.65,44.21,0.0,4.77,14.39,0.0,1423,36,32.71,3.71,23.57,12.82,Fog.
1,9,Gilgit-Baltistan,Pakistan,3/11/2020,3,2020,35.792146,74.982138,3,1,0,0,1696.76,5825.25,369.84,0.0,0.0,0.0,28756.33,6364.77,100395.19,0.0,0.0,0.0,2227137.68,4.0638,1,1,1.0683,0,0.0013,1,28.35,88.74,5.61,9.01,28.2,1.78,1423,36,41.29,0.43,7.57,4.28,Haze.
2,16,Gilgit-Baltistan,Pakistan,3/12/2020,3,2020,35.792146,74.982138,3,0,0,0,1570.7,5327.17,339.75,0.0,0.0,0.0,30327.03,6917.92,106763.32,0.0,0.0,0.0,2227137.68,3.4978,1,1,1.0666,0,0.0017,1,37.68,115.99,7.77,11.56,35.59,2.38,1423,36,51.43,8.14,48.0,21.34,Passing clouds.
3,23,Gilgit-Baltistan,Pakistan,3/13/2020,3,2020,35.792146,74.982138,3,0,0,0,1444.2,4839.56,305.27,0.0,0.0,0.0,31771.23,7364.81,112618.3,0.0,0.0,0.0,2227137.68,2.4574,1,1,1.0629,0,0.0023,1,48.4,147.35,10.24,14.37,43.74,3.04,1423,36,48.86,8.29,67.71,25.66,Light rain. Overcast.
4,30,Gilgit-Baltistan,Pakistan,3/14/2020,3,2020,35.792146,74.982138,3,0,0,0,1320.99,4376.27,262.41,0.0,0.0,0.0,33092.22,7789.15,117942.27,0.0,0.0,0.0,2227137.68,0.8216,1,1,1.0593,0,0.003,1,62.49,184.35,12.95,18.39,54.25,3.81,1423,36,33.57,6.43,34.57,17.15,Overcast.
5,37,Gilgit-Baltistan,Pakistan,3/15/2020,3,2020,35.792146,74.982138,3,0,0,0,1203.86,4064.12,225.85,0.05,0.03,0.09,34296.08,8201.26,122829.8,0.05,0.03,0.09,2227137.68,-1.5236,1,1,1.0557,0,0.004,1,78.39,228.52,15.71,23.23,67.71,4.65,1423,36,51.71,3.57,27.43,12.88,Overcast.
6,44,Gilgit-Baltistan,Pakistan,3/16/2020,3,2020,35.792146,74.982138,3,0,0,0,1094.71,3802.68,195.1,0.52,0.27,0.92,35390.79,8601.17,127341.38,0.47,0.24,0.83,2227137.68,-4.6664,1,1,1.0521,0,0.0052,1,96.38,295.87,18.4,28.83,88.48,5.5,1423,36,64.43,2.86,22.86,17.19,Haze.
7,51,Gilgit-Baltistan,Pakistan,3/17/2020,3,2020,35.792146,74.982138,3,0,0,0,994.72,3557.02,169.41,1.35,0.69,2.37,36385.51,8989.18,131351.32,0.82,0.42,1.45,2227137.68,-8.6485,1,1,1.0485,0,0.0068,1,118.91,417.64,21.28,35.3,123.99,6.32,1423,36,58.29,3.0,19.43,12.86,Clear.
8,58,Gilgit-Baltistan,Pakistan,3/18/2020,3,2020,35.792146,74.982138,13,10,0,0,904.46,3328.23,148.04,2.48,1.28,4.36,37289.97,9448.79,134898.37,1.13,0.58,1.99,2227137.68,-13.448,1,1,1.0467,0,0.0089,1,132.49,472.88,23.27,39.33,140.38,6.91,1423,36,39.14,3.0,7.57,8.56,Passing clouds.
9,65,Gilgit-Baltistan,Pakistan,3/19/2020,3,2020,35.792146,74.982138,21,8,0,0,823.99,3070.39,130.4,3.89,2.0,6.84,38113.96,9745.89,138026.76,1.41,0.73,2.48,2227137.68,-18.9731,1,1,1.0448,0,0.0115,1,144.67,528.59,25.0,42.83,156.48,7.4,1423,36,67.86,5.14,30.29,17.12,Passing clouds.
10,72,Gilgit-Baltistan,Pakistan,3/20/2020,3,2020,35.792146,74.982138,30,9,0,0,753.06,2820.68,110.77,5.56,2.86,9.77,38867.03,10010.78,140782.51,1.67,0.86,2.93,2227137.68,-25.0624,1,1,1.041,0,0.0148,1,156.23,594.57,26.52,45.91,174.7,7.79,1423,36,71.29,6.86,50.29,29.87,Clear.
11,79,Gilgit-Baltistan,Pakistan,3/21/2020,3,2020,35.792146,74.982138,55,25,0,0,691.17,2663.05,94.42,7.48,3.85,13.16,39558.2,10263.97,143211.29,1.93,0.99,3.39,2227137.68,-31.4884,1,1,1.0372,0,0.0188,1,166.28,657.96,27.77,48.23,190.86,8.06,1423,36,40.57,7.71,28.57,17.07,Partly sunny.
12,86,Gilgit-Baltistan,Pakistan,3/22/2020,3,2020,35.792146,74.982138,71,16,1,1,637.72,2530.81,81.44,9.68,4.99,17.02,40195.92,10479.13,145356.9,2.2,1.13,3.86,2227137.68,-37.9633,1,1,1.0334,0,0.0237,1,169.95,700.25,27.9,48.63,200.37,7.98,1423,36,54.0,7.86,58.14,21.4,Light rain. Overcast.
13,93,Gilgit-Baltistan,Pakistan,3/23/2020,3,2020,35.792146,74.982138,80,9,1,0,591.99,2400.96,72.11,12.15,6.26,21.37,40787.91,10717.34,147260.19,2.47,1.27,4.35,2227137.68,-44.1576,1,1,1.0296,0,0.0295,1,174.0,745.98,28.77,49.38,211.7,8.16,1423,36,29.43,3.71,11.29,8.54,Passing clouds.
14,100,Gilgit-Baltistan,Pakistan,3/24/2020,3,2020,35.792146,74.982138,81,1,1,0,553.28,2275.39,65.64,14.9,7.68,26.21,41341.19,10928.17,148958.46,2.75,1.42,4.83,2227137.68,-49.7512,1,1,1.0258,0,0.0363,1,176.76,785.47,29.27,50.34,223.71,8.34,1423,36,47.29,4.43,44.29,21.36,Overcast.
15,107,Gilgit-Baltistan,Pakistan,3/25/2020,3,2020,35.792146,74.982138,84,3,1,0,520.87,2088.03,63.58,17.91,9.23,31.5,41862.06,11132.73,150485.13,3.01,1.55,5.29,2227137.68,-54.5016,1,1,1.0238,0,0.0443,1,178.83,819.83,29.42,51.38,235.54,8.45,1423,36,8.71,0.0,0.0,0.0,Fog.
16,114,Gilgit-Baltistan,Pakistan,3/26/2020,3,2020,35.792146,74.982138,91,7,1,0,494.12,1907.05,60.84,21.16,10.9,37.22,42356.18,11335.38,151869.88,3.25,1.67,5.72,2227137.68,-58.2693,1,1,1.0219,0,0.0534,1,180.6,847.05,30.42,52.35,245.56,8.82,1423,36,57.29,4.14,51.57,21.41,Fog.
