,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,5,Punjab,Pakistan,3/10/2020,3,2020,30.811346,72.139132,0,0,0,0,31937.11,126144.01,2945.82,0.0,0.0,0.0,198804.13,14977.53,813930.59,0.0,0.0,0.0,113939260.1,5.3669,1,1,1.0667,0,0.0001,1,37.36,147.77,0.0,12.16,48.1,0.0,51809,1601,61.54,5.19,56.79,23.12,Clear.
1,12,Punjab,Pakistan,3/11/2020,3,2020,30.811346,72.139132,0,0,0,0,35543.64,139083.67,3503.77,0.0,0.0,0.0,234347.77,18481.3,953014.26,0.0,0.0,0.0,113939260.1,5.2378,1,1,1.0651,0,0.0001,1,80.99,261.94,8.15,25.74,83.23,2.59,51809,1601,66.81,1.65,20.31,9.32,Clear.
2,19,Punjab,Pakistan,3/12/2020,3,2020,30.811346,72.139132,0,0,0,0,39168.58,151827.41,4135.25,0.0,0.0,0.0,273516.35,22616.55,1104841.67,0.0,0.0,0.0,113939260.1,4.7775,1,1,1.0633,0,0.0001,1,114.61,373.74,12.07,35.16,114.67,3.7,51809,1601,53.31,4.9,53.12,18.58,Passing clouds.
3,26,Punjab,Pakistan,3/13/2020,3,2020,30.811346,72.139132,0,0,0,0,42773.96,165279.49,4843.66,0.0,0.0,0.0,316290.31,27460.21,1269074.2,0.0,0.0,0.0,113939260.1,3.889,1,1,1.0599,0,0.0002,1,158.85,514.95,16.66,47.15,152.85,4.94,51809,1601,56.46,6.56,77.27,27.94,Drizzle. Mostly cloudy.
4,33,Punjab,Pakistan,3/14/2020,3,2020,30.811346,72.139132,0,0,0,0,46327.36,179573.94,5631.34,0.35,0.18,0.61,362617.68,33091.55,1445260.28,0.35,0.18,0.61,113939260.1,2.4567,1,1,1.0565,0,0.0003,1,223.64,704.95,26.46,65.81,207.46,7.79,51809,1601,56.56,5.71,43.0,19.36,Passing clouds.
5,40,Punjab,Pakistan,3/15/2020,3,2020,30.811346,72.139132,1,1,0,0,49802.55,193327.36,6499.22,0.35,0.18,0.61,412420.22,39590.77,1632868.4,0.0,0.0,0.0,113939260.1,0.3676,1,1,1.0531,0,0.0006,1,331.24,1153.44,35.6,98.15,341.77,10.55,51809,1601,62.46,3.0,23.35,11.88,Clear.
6,47,Punjab,Pakistan,3/16/2020,3,2020,30.811346,72.139132,1,0,0,0,53180.39,206403.53,7446.69,0.35,0.18,0.62,465600.61,47037.45,1831322.13,0.0,0.0,0.0,113939260.1,-2.4724,1,1,1.0496,0,0.0011,1,465.47,1609.02,45.51,139.21,481.21,13.61,51809,1601,38.69,0.25,2.58,1.25,Clear.
7,54,Punjab,Pakistan,3/17/2020,3,2020,30.811346,72.139132,26,25,0,0,56447.08,218690.09,8456.49,0.35,0.18,0.62,522047.69,55508.63,2040003.83,0.0,0.0,0.0,113939260.1,-6.1232,1,1,1.0462,0,0.0019,1,679.58,2393.92,58.69,201.76,710.73,17.42,51809,1601,57.54,3.08,18.33,11.26,Passing clouds.
8,61,Punjab,Pakistan,3/18/2020,3,2020,30.811346,72.139132,33,7,0,0,59593.46,230100.28,9402.03,0.36,0.18,0.62,581641.16,65076.44,2258258.06,0.0,0.0,0.0,113939260.1,-10.5916,1,1,1.0445,0,0.0034,1,870.76,3097.14,72.42,258.5,919.45,21.5,51809,1601,70.27,3.19,22.98,13.76,Clear.
9,68,Punjab,Pakistan,3/19/2020,3,2020,30.811346,72.139132,83,50,0,0,62614.06,240566.77,10399.73,0.71,0.36,1.24,644255.21,75805.7,2485378.43,0.35,0.18,0.62,113939260.1,-15.8235,1,1,1.0427,0,0.0058,1,1097.99,3939.96,88.62,325.04,1166.37,26.23,51809,1601,65.29,1.52,14.08,8.11,Passing clouds.
10,75,Punjab,Pakistan,3/20/2020,3,2020,30.811346,72.139132,104,21,0,0,65507.06,250050.49,11444.67,2.15,1.1,3.76,709762.27,87751.32,2720610.2,1.44,0.74,2.52,113939260.1,-21.6947,1,1,1.039,0,0.0096,1,1372.6,4963.91,108.43,403.31,1458.54,31.86,51809,1601,70.31,2.02,15.42,9.32,Clear.
11,82,Punjab,Pakistan,3/21/2020,3,2020,30.811346,72.139132,152,48,0,0,68273.46,258548.95,12530.9,5.19,2.66,9.09,778035.74,100955.98,2963168.96,3.04,1.56,5.33,113939260.1,-28.0039,1,1,1.0354,0,0.0154,1,1695.35,6176.46,132.17,491.79,1791.68,38.34,51809,1601,65.67,5.46,37.62,17.4,Passing clouds.
12,89,Punjab,Pakistan,3/22/2020,3,2020,30.811346,72.139132,225,73,0,0,70914.24,266529.98,14010.6,10.37,5.32,18.18,848949.98,115447.02,3212245.89,5.18,2.66,9.09,113939260.1,-34.4736,1,1,1.0318,0,0.0237,1,2073.82,7615.81,160.14,593.41,2179.2,45.82,51809,1601,72.23,4.96,42.38,17.42,Thunderstorms. Mostly cloudy.
13,96,Punjab,Pakistan,3/23/2020,3,2020,30.811346,72.139132,249,24,0,0,73431.1,275743.44,15633.87,18.1,9.28,31.74,922381.08,131233.61,3481318.45,7.73,3.96,13.55,113939260.1,-40.7676,1,1,1.0281,0,0.0353,1,2537.85,9358.91,204.63,720.21,2655.93,58.07,51809,1601,63.4,1.9,18.69,9.35,Passing clouds.
14,103,Punjab,Pakistan,3/24/2020,3,2020,30.811346,72.139132,296,47,1,1,75828.07,283957.79,17072.29,28.58,14.66,50.11,998209.15,148305.9,3759743.55,10.48,5.38,18.38,113939260.1,-46.5517,1,1,1.0245,0,0.0507,1,3060.49,11330.58,260.94,871.65,3227.03,74.32,51809,1601,68.35,3.17,29.85,14.92,Mostly cloudy.
