,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
0,Azad Jammu and Kashmir,Pakistan,02/01/2021 5:22,34.027401,73.947253,8303.0,224.0
1,Balochistan,Pakistan,02/01/2021 5:22,28.328492,65.898403,18181.0,184.0
2,Gilgit-Baltistan,Pakistan,02/01/2021 5:22,35.792146,74.982138,4862.0,101.0
3,Islamabad,Pakistan,02/01/2021 5:22,33.665087,73.121219,38020.0,421.0
4,Khyber Pakhtunkhwa,Pakistan,02/01/2021 5:22,34.485332,72.09169,59023.0,1661.0
5,Punjab,Pakistan,02/01/2021 5:22,30.811346,72.139132,139341.0,4085.0
6,Sindh,Pakistan,02/01/2021 5:22,26.009446,68.776807,216632.0,3582.0
7,Azad Jammu and Kashmir,Pakistan,2021-01-03 05:22:52,34.027401,73.947253,8325.0,226.0
8,Balochistan,Pakistan,2021-01-03 05:22:52,28.328492,65.898403,18218.0,185.0
9,Gilgit-Baltistan,Pakistan,2021-01-03 05:22:52,35.792146,74.982138,4866.0,101.0
10,Islamabad,Pakistan,2021-01-03 05:22:52,33.665087,73.121219,38146.0,424.0
11,Khyber Pakhtunkhwa,Pakistan,2021-01-03 05:22:52,34.485332,72.09169,59255.0,1672.0
12,Punjab,Pakistan,2021-01-03 05:22:52,30.811346,72.13913199999998,140188.0,4109.0
13,Sindh,Pakistan,2021-01-03 05:22:52,26.009446,68.77680699999999,217636.0,3594.0
14,Azad Jammu and Kashmir,Pakistan,2021-01-04 05:22:02,34.027401,73.947253,8357.0,226.0
15,Balochistan,Pakistan,2021-01-04 05:22:02,28.328492,65.898403,18247.0,185.0
16,Gilgit-Baltistan,Pakistan,2021-01-04 05:22:02,35.792146,74.982138,4867.0,101.0
17,Islamabad,Pakistan,2021-01-04 05:22:02,33.665087,73.121219,38263.0,428.0
18,Khyber Pakhtunkhwa,Pakistan,2021-01-04 05:22:02,34.485332,72.09169,59484.0,1675.0
19,Punjab,Pakistan,2021-01-04 05:22:02,30.811346,72.13913199999998,140714.0,4124.0
20,Sindh,Pakistan,2021-01-04 05:22:02,26.009446,68.77680699999999,218597.0,3611.0
21,Azad Jammu and Kashmir,Pakistan,2021-01-05 05:21:49,34.027401,73.947253,8383.0,229.0
22,Balochistan,Pakistan,2021-01-05 05:21:49,28.328492,65.898403,18254.0,185.0
23,Gilgit-Baltistan,Pakistan,2021-01-05 05:21:49,35.792146,74.982138,4870.0,101.0
24,Islamabad,Pakistan,2021-01-05 05:21:49,33.665087,73.121219,38395.0,428.0
25,Khyber Pakhtunkhwa,Pakistan,2021-01-05 05:21:49,34.485332,72.09169,59729.0,1683.0
26,Punjab,Pakistan,2021-01-05 05:21:49,30.811346,72.13913199999998,141393.0,4160.0
27,Sindh,Pakistan,2021-01-05 05:21:49,26.009446,68.77680699999999,219452.0,3623.0
28,Azad Jammu and Kashmir,Pakistan,2021-01-06 05:22:16,34.027401,73.947253,8396.0,229.0
29,Balochistan,Pakistan,2021-01-06 05:22:16,28.328492,65.898403,18280.0,186.0
30,Gilgit-Baltistan,Pakistan,2021-01-06 05:22:16,35.792146,74.982138,4873.0,101.0
31,Islamabad,Pakistan,2021-01-06 05:22:16,33.665087,73.121219,38531.0,432.0
32,Khyber Pakhtunkhwa,Pakistan,2021-01-06 05:22:16,34.485332,72.09169,59955.0,1695.0
33,Punjab,Pakistan,2021-01-06 05:22:16,30.811346,72.13913199999998,142058.0,4184.0
34,Sindh,Pakistan,2021-01-06 05:22:16,26.009446,68.77680699999999,220501.0,3634.0
35,Azad Jammu and Kashmir,Pakistan,2021-01-07 05:22:03,34.027401,73.947253,8416.0,232.0
36,Balochistan,Pakistan,2021-01-07 05:22:03,28.328492,65.898403,18300.0,186.0
37,Gilgit-Baltistan,Pakistan,2021-01-07 05:22:03,35.792146,74.982138,4874.0,101.0
38,Islamabad,Pakistan,2021-01-07 05:22:03,33.665087,73.121219,38687.0,434.0
39,Khyber Pakhtunkhwa,Pakistan,2021-01-07 05:22:03,34.485332,72.09169,60229.0,1702.0
40,Punjab,Pakistan,2021-01-07 05:22:03,30.811346,72.13913199999998,142835.0,4203.0
41,Sindh,Pakistan,2021-01-07 05:22:03,26.009446,68.77680699999999,221734.0,3653.0
42,Azad Jammu and Kashmir,Pakistan,2021-01-08 05:22:42,34.027401,73.947253,8430.0,234.0
43,Balochistan,Pakistan,2021-01-08 05:22:42,28.328492,65.898403,18314.0,186.0
44,Gilgit-Baltistan,Pakistan,2021-01-08 05:22:42,35.792146,74.982138,4878.0,101.0
45,Islamabad,Pakistan,2021-01-08 05:22:42,33.665087,73.121219,38842.0,436.0
46,Khyber Pakhtunkhwa,Pakistan,2021-01-08 05:22:42,34.485332,72.09169,60536.0,1710.0
47,Punjab,Pakistan,2021-01-08 05:22:42,30.811346,72.13913199999998,143511.0,4221.0
48,Sindh,Pakistan,2021-01-08 05:22:42,26.009446,68.77680699999999,222999.0,3670.0
