,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",27.29,11.43,23.14,0.0,Haze.
"January 2, 2020",27.29,11.43,23.14,0.0,Haze.
"January 3, 2020",17.86,9.29,33.57,0.0,Overcast.
"January 4, 2020",13.57,2.29,20.14,0.0,Partly sunny.
"January 5, 2020",29.57,4.86,53.29,0.0,Overcast.
"January 6, 2020",19.86,7.57,35.86,0.0,Rain. Overcast.
"January 7, 2020",23.29,6.43,38.57,0.0,Thundershowers. Overcast.
"January 8, 2020",12.14,5.0,17.43,0.0,Overcast.
"January 9, 2020",12.14,5.0,17.43,0.0,Overcast.
"January 10, 2020",21.71,4.43,23.86,0.0,Fog.
"January 11, 2020",10.0,2.57,21.71,0.0,Passing clouds.
"January 12, 2020",10.0,2.57,21.71,0.0,Passing clouds.
"January 13, 2020",13.29,11.0,16.0,0.0,Snow. Overcast.
"January 14, 2020",19.29,11.29,38.57,0.0,Light snow. Overcast.
"January 15, 2020",20.0,4.29,71.57,0.0,Fog.
"January 16, 2020",12.29,2.71,34.14,0.0,Fog.
"January 17, 2020",8.71,2.29,21.14,0.0,Partly sunny.
"January 18, 2020",16.86,5.43,42.57,0.0,Fog.
"January 19, 2020",27.86,5.86,71.29,0.0,Passing clouds.
"January 20, 2020",19.29,5.71,38.71,0.0,Fog.
"January 21, 2020",25.0,7.29,54.29,0.0,Passing clouds.
"January 22, 2020",33.86,5.71,68.14,0.0,Fog.
"January 23, 2020",15.71,3.0,32.14,0.0,Scattered clouds.
"January 24, 2020",31.0,6.86,66.71,0.0,Fog.
"January 25, 2020",26.0,4.29,44.86,0.0,Overcast.
"January 26, 2020",19.57,3.0,34.14,0.0,Fog.
"January 27, 2020",43.57,5.86,75.0,0.0,Fog.
"January 28, 2020",15.71,5.29,36.71,0.0,Overcast.
"January 29, 2020",24.43,9.71,56.29,0.0,Light snow. Overcast.
"January 30, 2020",31.57,8.86,53.57,0.0,Overcast.
"January 31, 2020",38.71,6.14,64.57,0.0,Haze.
"February 1, 2020",6.57,0.71,6.71,0.0,Clear.
"February 2, 2020",6.57,0.71,6.71,0.0,Clear.
"February 3, 2020",25.0,8.71,29.43,0.0,Clear.
"February 4, 2020",34.71,10.0,56.0,0.0,Passing clouds.
"February 5, 2020",34.71,10.0,56.0,0.0,Passing clouds.
