,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",43.43,16.43,60.57,25.81,Fog.
"January 2, 2020",43.43,16.43,60.57,25.81,Fog.
"January 3, 2020",30.0,9.57,39.86,17.23,Clear.
"January 4, 2020",42.29,6.14,34.29,17.22,Scattered clouds.
"January 5, 2020",44.14,0.0,0.0,0.0,Clear.
"January 6, 2020",48.14,5.0,37.0,17.14,Fog.
"January 7, 2020",59.0,13.71,75.0,30.04,Passing clouds.
"January 8, 2020",40.57,10.86,55.14,21.46,Fog.
"January 9, 2020",39.57,2.43,32.43,12.87,Fog.
"January 10, 2020",50.86,5.71,21.0,17.21,Clear.
"January 11, 2020",59.29,13.57,39.71,25.78,Clear.
"January 12, 2020",53.86,14.14,41.29,25.75,Passing clouds.
"January 13, 2020",48.43,19.0,56.29,25.7,Passing clouds.
"January 14, 2020",49.57,8.71,57.14,25.65,Overcast.
"January 15, 2020",65.43,8.86,50.14,25.7,Clear.
"January 16, 2020",41.43,10.29,41.71,21.45,Clear.
"January 17, 2020",32.29,5.0,26.86,12.88,Clear.
"January 18, 2020",44.43,1.43,8.43,8.57,Clear.
"January 19, 2020",60.0,7.14,33.14,21.47,Clear.
"January 20, 2020",52.14,7.57,35.57,21.51,Clear.
"January 21, 2020",53.86,1.0,5.14,4.29,Clear.
"January 22, 2020",64.14,9.43,34.43,21.48,Passing clouds.
"January 23, 2020",55.14,13.71,47.43,25.84,Clear.
"January 24, 2020",63.57,12.14,59.71,30.13,Clear.
"January 25, 2020",73.86,3.57,27.71,12.9,Clear.
"January 26, 2020",29.57,1.71,7.29,4.27,Clear.
"January 27, 2020",68.29,3.14,36.0,17.11,Clear.
"January 28, 2020",61.0,1.71,4.57,4.26,Clear.
"January 29, 2020",34.71,2.57,28.14,12.81,Passing clouds.
"January 30, 2020",56.71,0.0,0.0,0.0,Clear.
"January 31, 2020",63.86,4.0,21.14,12.9,Clear.
"February 1, 2020",9.71,0.0,0.0,0.0,Clear.
"February 2, 2020",9.71,0.0,0.0,0.0,Clear.
"February 3, 2020",46.0,6.0,34.29,21.49,Clear.
"February 4, 2020",75.14,4.71,30.43,17.19,Clear.
"February 5, 2020",76.14,7.14,34.86,21.42,Clear.
"February 6, 2020",55.57,11.14,47.86,25.77,Clear.
"February 7, 2020",48.43,0.0,0.0,0.0,Clear.
"February 8, 2020",47.86,8.14,37.43,21.49,Sunny.
"February 9, 2020",57.57,8.29,39.43,25.81,Clear.
"February 10, 2020",48.57,4.43,21.29,17.2,Sunny.
"February 11, 2020",69.14,7.14,35.0,25.76,Clear.
"February 12, 2020",60.57,6.0,34.57,25.73,Clear.
"February 13, 2020",40.0,7.71,26.14,17.16,Clear.
"February 14, 2020",55.57,3.43,20.43,12.89,Sunny.
"February 15, 2020",81.71,7.57,43.0,29.99,Clear.
"February 16, 2020",73.0,1.43,11.57,8.56,Passing clouds.
"February 17, 2020",73.0,5.71,25.0,21.43,Clear.
"February 18, 2020",33.86,4.43,13.57,12.87,Sunny.
"February 19, 2020",56.0,1.71,4.57,4.28,Scattered clouds.
"February 20, 2020",47.71,3.71,10.0,12.77,Clear.
"February 21, 2020",52.0,9.71,30.57,21.36,Sunny.
"February 22, 2020",29.86,4.71,19.71,12.85,Clear.
"February 23, 2020",71.29,13.43,55.0,30.09,Clear.
"February 24, 2020",84.0,11.29,63.86,34.34,Clear.
"February 25, 2020",57.43,1.71,15.86,8.57,Clear.
"February 26, 2020",56.29,4.71,14.57,12.8,Clear.
"February 27, 2020",88.0,9.43,60.43,25.6,Clear.
"February 28, 2020",81.0,11.0,40.57,29.85,Clear.
"February 29, 2020",78.71,11.14,57.0,29.77,Passing clouds.
"March 1, 2020",65.29,12.43,44.14,25.64,Clear.
"March 2, 2020",65.29,12.43,44.14,25.64,Clear.
"March 3, 2020",75.14,9.14,46.0,25.64,Clear.
"March 4, 2020",61.57,5.14,18.14,17.03,Sunny.
"March 5, 2020",54.14,6.43,29.86,17.02,Clear.
"March 6, 2020",72.43,12.0,61.86,29.74,Clear.
"March 7, 2020",70.14,5.71,38.71,25.53,Clear.
"March 8, 2020",55.57,5.43,19.43,17.08,Clear.
"March 9, 2020",33.71,0.0,0.0,0.0,Sunny.
"March 10, 2020",33.71,0.0,0.0,0.0,Sunny.
"March 11, 2020",77.14,6.43,30.43,21.28,Overcast.
"March 12, 2020",72.43,9.43,34.43,25.52,Clear.
"March 13, 2020",72.57,12.57,20.71,25.57,Clear.
"March 14, 2020",60.0,2.29,10.71,8.55,Clear.
"March 15, 2020",72.29,0.71,6.29,4.28,Clear.
"March 16, 2020",85.71,5.43,27.43,21.41,Clear.
"March 17, 2020",77.43,8.43,36.71,25.7,Clear.
"March 18, 2020",58.0,4.14,14.14,12.85,Clear.
"March 19, 2020",81.0,4.0,19.43,17.1,Clear.
"March 20, 2020",83.86,7.43,17.43,21.28,Clear.
"March 21, 2020",70.0,10.43,38.43,25.49,Clear.
"March 22, 2020",70.29,6.0,48.57,25.54,Clear.
"March 23, 2020",46.29,3.57,22.14,12.79,Clear.
"March 24, 2020",57.14,1.57,13.71,8.53,Clear.
"March 25, 2020",46.86,6.0,21.86,12.76,Clear.
"March 26, 2020",81.43,4.29,41.14,21.28,Clear.
"March 27, 2020",55.0,6.43,35.14,21.37,Overcast.
"March 28, 2020",56.86,8.86,31.29,21.35,Passing clouds.
"March 29, 2020",65.57,4.71,35.71,17.08,Clear.
"March 30, 2020",42.71,1.29,7.57,4.27,Clear.
"March 31, 2020",85.14,6.0,13.57,17.04,Clear.
"April 1, 2020",94.29,7.14,47.86,29.85,Clear.
"April 2, 2020",94.29,7.14,47.86,29.85,Clear.
"April 3, 2020",72.71,4.43,26.14,17.06,Clear.
"April 4, 2020",76.71,3.71,13.71,17.04,Clear.
"April 5, 2020",76.71,3.71,13.71,17.04,Clear.
"April 6, 2020",76.71,3.71,13.71,17.04,Clear.
"April 7, 2020",62.86,4.86,18.43,17.03,Clear.
"April 8, 2020",77.57,3.71,24.43,21.31,Sunny.
"April 9, 2020",86.43,3.29,33.29,17.03,Clear.
"April 10, 2020",35.71,3.57,19.43,12.76,Clear.
"April 11, 2020",61.57,4.86,30.43,17.04,Clear.
"April 12, 2020",39.0,3.0,9.43,12.8,Clear.
"April 13, 2020",39.0,3.0,9.43,12.8,Clear.
"April 14, 2020",40.14,7.57,14.14,17.02,Clear.
"April 15, 2020",54.71,7.29,19.0,25.55,Clear.
"April 16, 2020",54.71,7.29,19.0,25.55,Clear.
"April 17, 2020",54.71,7.29,19.0,25.55,Clear.
"April 18, 2020",76.43,11.86,52.71,33.98,Clear.
"April 19, 2020",52.86,10.71,30.86,25.52,Sunny.
"April 20, 2020",49.14,5.71,29.86,17.01,Clear.
"April 21, 2020",49.14,5.71,29.86,17.01,Clear.
"April 22, 2020",36.29,2.43,16.0,8.51,Clear.
"April 23, 2020",49.29,4.14,22.0,12.73,Passing clouds.
"April 24, 2020",38.14,6.29,27.86,16.96,Clear.
"April 25, 2020",63.86,14.86,44.0,29.64,Clear.
"April 26, 2020",39.43,8.71,33.86,21.2,Passing clouds.
"April 27, 2020",39.43,8.71,33.86,21.2,Passing clouds.
"April 28, 2020",39.43,8.71,33.86,21.2,Passing clouds.
"April 29, 2020",64.57,8.29,36.43,25.51,Clear.
"April 30, 2020",11.71,1.71,8.14,4.25,Clear.
"May 1, 2020",62.0,11.0,46.14,25.47,Clear.
"May 2, 2020",62.0,11.0,46.14,25.47,Clear.
"May 3, 2020",62.0,11.0,46.14,25.47,Clear.
"May 4, 2020",54.0,12.86,37.14,25.42,Clear.
"May 5, 2020",74.43,8.0,54.57,25.47,Clear.
"May 6, 2020",74.43,8.0,54.57,25.47,Clear.
"May 7, 2020",39.0,5.71,34.14,16.94,Clear.
"May 8, 2020",41.57,11.29,35.14,21.17,Clear.
"May 9, 2020",49.86,9.29,45.29,21.17,Clear.
"May 10, 2020",49.86,9.29,45.29,21.17,Clear.
"May 11, 2020",27.43,8.57,31.29,16.94,Clear.
"May 12, 2020",65.29,14.86,48.43,25.43,Clear.
"May 13, 2020",52.0,12.57,42.86,21.18,Clear.
"May 14, 2020",64.86,12.29,56.29,29.66,Clear.
"May 15, 2020",64.86,12.29,56.29,29.66,Clear.
"May 16, 2020",64.86,12.29,56.29,29.66,Clear.
"May 17, 2020",66.14,6.29,44.86,29.67,Clear.
"May 18, 2020",76.71,13.57,52.86,33.89,Clear.
"May 19, 2020",53.71,13.0,39.14,25.38,Clear.
"May 20, 2020",77.29,9.14,57.43,29.59,Clear.
"May 21, 2020",76.86,11.43,47.71,29.59,Clear.
"May 22, 2020",54.86,12.86,41.57,29.61,Clear.
"May 23, 2020",41.29,11.0,35.57,21.13,Clear.
"May 24, 2020",64.57,15.14,53.43,29.62,Clear.
"May 25, 2020",64.57,15.14,53.43,29.62,Clear.
"May 26, 2020",42.29,11.57,32.57,21.16,Clear.
"May 27, 2020",53.57,11.43,43.0,25.36,Clear.
"May 28, 2020",68.57,18.71,51.57,33.77,Clear.
"May 29, 2020",42.14,17.0,43.57,25.27,Sunny.
"May 30, 2020",54.86,16.29,51.57,29.48,Clear.
"May 31, 2020",66.43,11.71,40.86,21.11,Clear.
"June 1, 2020",63.43,8.29,41.14,21.19,Clear.
"June 2, 2020",63.43,8.29,41.14,21.19,Clear.
"June 3, 2020",78.86,14.71,68.43,33.83,Clear.
"June 5, 2020",78.86,14.71,68.43,33.83,Clear.
"June 6, 2020",54.57,8.14,39.0,21.1,Clear.
"June 7, 2020",12.43,1.71,9.86,4.22,Clear.
"June 8, 2020",12.43,1.71,9.86,4.22,Clear.
"June 9, 2020",65.29,14.57,60.57,29.52,Passing clouds.
"June 10, 2020",24.29,4.0,20.29,8.45,Clear.
"June 11, 2020",24.29,4.0,20.29,8.45,Clear.
"June 12, 2020",24.29,4.0,20.29,8.45,Clear.
"June 13, 2020",27.43,7.86,24.0,12.64,Sunny.
"June 14, 2020",54.57,11.57,46.86,25.23,Clear.
"June 15, 2020",67.29,8.86,52.43,29.5,Clear.
"June 16, 2020",53.14,11.43,49.29,25.25,Clear.
"June 17, 2020",51.57,9.29,43.86,21.0,Clear.
