Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Azad Jammu and Kashmir,1135,557,546,27.5,1.25,25.25,44.27662987,-33.2411633,34.53829164,18.69835706,295.19,32
7/3/2020,Azad Jammu and Kashmir,1160,686,441,33.66666667,0.5,29.25,43.87709174,-32.76535926,34.85650315,18.83096758,296.44,33
7/4/2020,Azad Jammu and Kashmir,1160,686,441,27.66666667,3.25,34,43.48447734,-32.23273287,35.09904029,18.97191524,299.18,33
7/5/2020,Azad Jammu and Kashmir,1214,686,494,25,1,55,43.09863845,-31.64539894,34.89960803,18.76534543,303.74,34
7/6/2020,Azad Jammu and Kashmir,1342,690,616,27.5,0.5,44.5,42.71931835,-31.05044961,34.85473499,18.65932619,310.21,36
7/7/2020,Azad Jammu and Kashmir,1383,741,606,30.5,1.75,49.25,42.34619102,-30.52176589,34.55468528,18.57251295,318.3887844,36
7/8/2020,Azad Jammu and Kashmir,1419,788,591,30.33333333,1.5,33.25,41.97889368,-30.1205576,35.04852089,18.86670721,327.7002617,40
7/9/2020,Azad Jammu and Kashmir,1459,828,591,28.25,1,58.5,41.61705241,-29.87022934,34.18534278,18.25197598,337.2632894,40
7/10/2020,Azad Jammu and Kashmir,1485,860,584,32.33333333,0,36.25,41.26030104,-29.73333945,32.05166112,17.12717516,345.9992316,41
7/11/2020,Azad Jammu and Kashmir,1532,894,596,30.5,2,24.5,40.90829397,-29.62458411,30.47535501,16.27645423,352.8399785,42
7/12/2020,Azad Jammu and Kashmir,1564,942,579,23.5,0,82,40.56071355,-29.46443947,28.37478231,15.16006015,356.9788971,43
7/13/2020,Azad Jammu and Kashmir,1599,978,577,30,1.25,43.25,40.21727324,-29.2221299,26.7961351,14.33695187,358.0846642,44
7/14/2020,Azad Jammu and Kashmir,1655,1029,581,29.33333333,0.5,42.75,39.87771738,-28.90085427,25.32628369,13.52226535,356.3812143,45
7/15/2020,Azad Jammu and Kashmir,1688,1049,593,29.66666667,0,43.75,39.5418188,-28.50062598,23.19867955,12.38144405,352.5498363,46
7/16/2020,Azad Jammu and Kashmir,1771,1061,664,27.75,2,66.5,39.20937515,-28.01248363,20.5186971,10.88710849,347.5069074,46
7/17/2020,Azad Jammu and Kashmir,1771,1061,664,30,2.75,27.25,38.88020478,-27.4290109,18.65804267,9.80541289,342.162846,46
7/18/2020,Azad Jammu and Kashmir,1840,1094,700,28,2,43.5,38.55414297,-26.76105294,17.01463219,8.878911723,337.2474921,46
7/19/2020,Azad Jammu and Kashmir,1888,1174,667,28,2.75,73.5,38.23103881,-26.06640506,15.64779013,8.085183535,333.2256246,47
7/20/2020,Azad Jammu and Kashmir,1915,1201,667,22.66666667,1,63.75,37.91075318,-25.47281966,14.62052889,7.513369711,330.2880013,47
7/21/2020,Azad Jammu and Kashmir,1922,1254,621,23.25,1.5,77.25,37.5931579,-25.12890285,13.93042867,7.148290104,328.3941955,47
7/22/2020,Azad Jammu and Kashmir,1937,1275,615,27,1.5,63.5,37.27813602,-25.11878247,13.6436933,6.995913372,327.3493001,47
7/23/2020,Azad Jammu and Kashmir,1961,1328,585,28,0.5,49.5,36.96558315,-25.46245147,13.55766035,6.93267612,326.8936929,48
7/24/2020,Azad Jammu and Kashmir,1989,1361,579,31,1,33,36.6554097,-26.11773495,13.72128344,7.066932288,326.7814452,49
7/25/2020,Azad Jammu and Kashmir,2012,1409,554,26,1,77,36.34754359,-27.02564597,14.2532125,7.325887126,326.8253254,49
7/26/2020,Azad Jammu and Kashmir,2023,1435,539,28.66666667,1.5,53.75,36.04193336,-28.14449038,14.42905332,7.420311476,326.8995082,49
7/27/2020,Azad Jammu and Kashmir,2023,1435,539,27.33333333,0,56.25,35.73855115,-29.46686998,14.96695838,7.633027472,326.9031292,49
7/28/2020,Azad Jammu and Kashmir,2034,1449,536,30,0,18.75,35.43739545,-30.99088853,15.61431033,7.986596382,326.6949518,49
7/29/2020,Azad Jammu and Kashmir,2040,1482,509,30.33333333,0.5,52.5,35.13849313,-32.64833617,16.40985921,8.304437541,326.0171406,49
7/30/2020,Azad Jammu and Kashmir,2055,1543,462,25.25,0,79.75,34.84190082,-34.25966842,16.82830666,8.47771563,324.4412985,50
7/31/2020,Azad Jammu and Kashmir,2065,1583,431,26.75,2,84,34.54770515,-35.57927121,17.51989822,8.837208189,321.3842056,51
