Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Balochistan,10608,4764,5723,25,1.75,10.5,32.88103988,-8.032535844,443.9877701,240.366314,1435.934973,121
7/3/2020,Balochistan,10666,5073,5471,35.33333333,16,7.75,32.42212147,-7.547012284,437.5253176,236.3698113,1516.675474,122
7/4/2020,Balochistan,10666,5073,5471,34,19.75,6.75,31.97415247,-7.069175316,430.0699428,232.4636353,1599.029004,122
7/5/2020,Balochistan,10717,5331,5264,28.25,18.5,17.75,31.53998339,-6.657030515,417.6780152,224.5833887,1678.774505,122
7/6/2020,Balochistan,10814,5885,4806,29.25,22.75,20.75,31.12187577,-6.359859207,408.0657806,218.4561872,1753.743693,123
7/7/2020,Balochistan,10841,6131,4586,28.75,24.25,20.75,30.72152084,-6.193359369,396.7784351,213.2611703,1823.676878,124
7/8/2020,Balochistan,10919,6432,4363,30,13,19.75,30.34007071,-6.135159652,396.2854282,213.3214457,1889.78378,124
7/9/2020,Balochistan,11052,6658,4270,33.5,14.5,8.25,29.97817923,-6.135708667,382.7185452,204.3381498,1954.202694,124
7/10/2020,Balochistan,11099,6931,4043,29.33333333,24.5,19,29.63605001,-6.137169683,357.7098907,191.1464099,2019.44968,125
7/11/2020,Balochistan,11128,7224,3778,32.66666667,17.75,15.25,29.31348918,-6.102103576,341.6834901,182.4882987,2087.901155,126
7/12/2020,Balochistan,11157,7421,3610,31,25.25,25.5,29.0099611,-6.029918239,322.2890758,172.1923968,2161.331186,126
7/13/2020,Balochistan,11185,7598,3461,30.25,32.5,30.5,28.7246452,-5.930522914,311.0069704,166.400563,2240.550344,126
7/14/2020,Balochistan,11192,7812,3254,36,30.75,5.5,28.45649297,-5.802649057,302.825061,161.6850257,2325.206428,126
7/15/2020,Balochistan,11239,7883,3229,35.5,11.25,9.75,28.20428358,-5.626706663,287.5869798,153.488999,2413.803204,127
7/16/2020,Balochistan,11322,8002,3193,32,18.75,22.25,27.96667743,-5.37697626,264.5332986,140.3599218,2503.942457,127
7/17/2020,Balochistan,11322,8002,3193,23,9.25,9.5,27.74226662,-5.03528222,249.9439005,131.353711,2592.753651,127
7/18/2020,Balochistan,11405,8313,2961,31.5,13,10.75,27.52962159,-4.608853869,235.559676,122.9244068,2677.431267,131
7/19/2020,Balochistan,11424,8399,2894,32,21.5,18.75,27.32733337,-4.144283528,221.5989622,114.4997643,2755.747211,131
7/20/2020,Balochistan,11436,8688,2616,28,8.25,19,27.13405094,-3.703497895,208.6531947,107.225163,2826.317159,132
7/21/2020,Balochistan,11441,9061,2247,29.25,27,27.25,26.94851327,-3.339234242,196.6883389,100.9290769,2888.394591,133
7/22/2020,Balochistan,11469,9381,1953,29.66666667,24.5,22.5,26.76957591,-3.091170796,186.9010037,95.83499146,2941.156831,135
