Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Gilgit-Baltistan,1511,1146,337,27.5,1.25,25.25,34.9558047,-33.2411633,22.35646017,12.10335124,78.65,28
7/3/2020,Gilgit-Baltistan,1524,1173,323,33.66666667,0.5,29.25,34.77577553,-32.76535926,23.59880335,12.74907867,75.88,28
7/4/2020,Gilgit-Baltistan,1524,1173,323,27.66666667,3.25,34,34.59740718,-32.23273287,24.92249978,13.4712388,73.74,28
7/5/2020,Gilgit-Baltistan,1536,1185,323,25,1,55,34.42101725,-31.64539894,26.04396295,14.00370918,72.28,28
7/6/2020,Gilgit-Baltistan,1561,1203,330,27.5,0.5,44.5,34.2469091,-31.05044961,27.38262489,14.65916554,71.48055857,28
7/7/2020,Gilgit-Baltistan,1587,1224,333,30.5,1.75,49.25,34.07537021,-30.52176589,28.62362754,15.38467761,71.28501642,30
7/8/2020,Gilgit-Baltistan,1595,1232,333,30.33333333,1.5,33.25,33.90667084,-30.1205576,30.66618642,16.50768552,71.56566108,30
7/9/2020,Gilgit-Baltistan,1605,1272,302,28.25,1,58.5,33.74106273,-29.87022934,31.66703079,16.90741816,72.16577028,31
7/10/2020,Gilgit-Baltistan,1619,1290,295,32.33333333,0,36.25,33.57877801,-29.73333945,31.52887797,16.84781995,72.93205934,34
7/11/2020,Gilgit-Baltistan,1630,1303,291,30.5,2,24.5,33.42002835,-29.62458411,31.95844803,17.06855314,73.74240125,36
7/12/2020,Gilgit-Baltistan,1658,1316,306,23.5,0,82,33.26500417,-29.46443947,31.87580625,17.03058494,74.51892668,36
7/13/2020,Gilgit-Baltistan,1671,1319,316,30,1.25,43.25,33.11387412,-29.2221299,32.43634327,17.35467785,75.22842648,36
7/14/2020,Gilgit-Baltistan,1694,1370,288,29.33333333,0.5,42.75,32.96678473,-28.90085427,33.25332985,17.75469135,75.87687586,36
7/15/2020,Gilgit-Baltistan,1708,1376,294,29.66666667,0,43.75,32.8238602,-28.50062598,33.26175171,17.75223961,76.50294312,38
7/16/2020,Gilgit-Baltistan,1750,1389,323,27.75,2,66.5,32.68520238,-28.01248363,32.30678499,17.14180347,77.17109036,38
7/17/2020,Gilgit-Baltistan,1750,1389,323,30,2.75,27.25,32.55089094,-27.4290109,32.36197497,17.00727843,77.96149078,38
7/18/2020,Gilgit-Baltistan,1796,1409,348,28,2,43.5,32.42098362,-26.76105294,32.47982514,16.94926443,78.95456724,39
7/19/2020,Gilgit-Baltistan,1807,1460,306,28,2.75,73.5,32.29551676,-26.06640506,32.6631478,16.87698663,80.2109468,41
7/20/2020,Gilgit-Baltistan,1849,1472,334,22.66666667,1,63.75,32.17450582,-25.47281966,32.94311787,16.92919769,81.75139893,43
7/21/2020,Gilgit-Baltistan,1868,1481,344,23.25,1.5,77.25,32.05794615,-25.12890285,33.23339818,17.05345736,83.54230605,43
7/22/2020,Gilgit-Baltistan,1878,1485,348,27,1.5,63.5,31.94581382,-25.11878247,33.6362181,17.2472411,85.49106208,45
7/23/2020,Gilgit-Baltistan,1896,1498,353,28,0.5,49.5,31.83806656,-25.46245147,33.63375074,17.19853533,87.45341894,45
7/24/2020,Gilgit-Baltistan,1918,1533,339,31,1,33,31.73464482,-26.11773495,33.38306652,17.19342594,89.25417602,46
7/25/2020,Gilgit-Baltistan,1942,1548,347,26,1,77,31.6354729,-27.02564597,33.25077966,17.09028464,90.7212188,47
7/26/2020,Gilgit-Baltistan,1952,1559,346,28.66666667,1.5,53.75,31.54046016,-28.14449038,31.69743523,16.30078129,91.72949607,47
7/27/2020,Gilgit-Baltistan,1952,1559,346,27.33333333,0,56.25,31.44950227,-29.46686998,30.551666,15.58110205,92.24474647,47
7/28/2020,Gilgit-Baltistan,1989,1566,375,30,0,18.75,31.36248256,-30.99088853,29.36178529,15.01832122,92.3534957,48
7/29/2020,Gilgit-Baltistan,2010,1613,349,30.33333333,0.5,52.5,31.27927333,-32.64833617,28.30643877,14.32486713,92.26804378,48
7/30/2020,Gilgit-Baltistan,2042,1658,334,25.25,0,79.75,31.19973726,-34.25966842,26.62420984,13.41266738,92.30313255,50
7/31/2020,Gilgit-Baltistan,2090,1693,344,26.75,2,84,31.12372881,-35.57927121,25.49889185,12.86189069,92.8273136,53
8/1/2020,Gilgit-Baltistan,2105,1719,333,28.33333333,0,69.66666667,31.05109559,-36.34774952,24.89157985,12.48305677,94.19822605,53
8/2/2020,Gilgit-Baltistan,2105,1719,333,29,0.5,50.75,30.98167978,-36.37041269,23.20245718,11.64742538,96.69481937,53
8/3/2020,Gilgit-Baltistan,2157,1758,345,29,0.5,44.5,30.91531948,-35.60961772,20.79712874,9.845173915,100.4638526,54
8/4/2020,Gilgit-Baltistan,2198,1801,342,26.5,0.5,72,30.85185009,-34.1742359,19.56409677,9.204062856,105.4975525,55
8/5/2020,Gilgit-Baltistan,2198,1801,342,29.33333333,1,49.25,30.7911056,-32.26585039,18.68168242,8.731734384,111.655268,55
8/6/2020,Gilgit-Baltistan,2218,1820,343,32,1,44.75,30.73291984,-30.10145381,17.77925641,8.300671423,118.726266,55
8/7/2020,Gilgit-Baltistan,2234,1846,333,27.5,0,35.75,30.67712776,-27.86955766,17.59148275,8.210197525,126.5089628,55
8/8/2020,Gilgit-Baltistan,2287,1861,371,33,0.5,17,30.62356653,-25.73160344,17.2184894,8.038035249,134.8670168,55
8/9/2020,Gilgit-Baltistan,2301,1887,359,24.33333333,0,70.25,30.57207666,-23.83630882,17.12413965,8.005429726,143.7363089,55
8/10/2020,Gilgit-Baltistan,2321,1902,364,23.5,0,47,30.52250304,-22.31454674,17.15891914,8.0430214,153.0898461,55
8/11/2020,Gilgit-Baltistan,2334,1914,363,32,0,16.25,30.47469589,-21.22665026,17.35872461,8.135768489,162.8938332,57
8/12/2020,Gilgit-Baltistan,2371,1955,359,30,0.5,75.5,30.42851163,-20.51419961,17.66780244,8.266906227,173.0859117,57
8/13/2020,Gilgit-Baltistan,2402,2002,342,30.25,1,75,30.38381369,-20.06103866,18.17123311,8.48236384,183.5839327,58
