,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",33.29,6.29,31.43,0.0,Clear.
"January 2, 2020",33.29,6.29,31.43,0.0,Clear.
"January 3, 2020",21.86,3.14,35.14,0.0,Passing clouds.
"January 4, 2020",26.14,1.29,24.86,0.0,Partly sunny.
"January 5, 2020",22.71,1.57,42.86,0.0,Overcast.
"January 6, 2020",24.57,2.71,61.86,0.0,Partly sunny.
"January 7, 2020",29.43,4.43,87.43,0.0,Overcast.
"January 8, 2020",22.71,1.43,65.29,0.0,Overcast.
"January 9, 2020",21.43,2.43,42.14,0.0,Overcast.
"January 10, 2020",30.0,2.29,44.29,0.0,Clear.
"January 11, 2020",38.43,1.57,28.71,0.0,Clear.
"January 12, 2020",35.86,1.43,32.0,0.0,Clear.
"January 13, 2020",32.14,4.86,40.57,0.0,Overcast.
"January 14, 2020",28.14,5.57,32.14,0.0,Light rain. Overcast.
"January 15, 2020",38.57,6.0,82.86,0.0,Light snow. Low clouds.
"January 16, 2020",26.43,4.71,51.57,0.0,Clear.
"January 17, 2020",21.57,1.0,18.71,0.0,Clear.
"January 18, 2020",26.71,1.0,20.43,0.0,Clear.
"January 19, 2020",33.86,0.71,10.86,0.0,Clear.
"January 20, 2020",37.71,1.43,15.57,0.0,Clear.
"January 21, 2020",30.0,2.43,39.0,0.0,Clear.
"January 22, 2020",30.43,1.43,61.0,0.0,Overcast.
"January 23, 2020",29.57,2.29,52.29,0.0,Clear.
"January 24, 2020",35.71,5.29,61.71,0.0,Clear.
"January 25, 2020",46.86,2.0,50.0,0.0,Clear.
"January 26, 2020",17.14,1.0,12.43,0.0,Passing clouds.
"January 27, 2020",41.14,1.14,34.71,0.0,Clear.
"January 28, 2020",35.0,2.14,51.57,0.0,Clear.
"January 29, 2020",23.57,3.57,39.71,0.0,Light snow. Low clouds.
"January 30, 2020",28.43,5.14,53.71,0.0,Light snow. Low clouds.
"January 31, 2020",37.14,3.43,60.0,0.0,Clear.
"February 1, 2020",11.43,0.71,8.14,0.0,Passing clouds.
"February 2, 2020",11.43,0.71,8.14,0.0,Passing clouds.
"February 3, 2020",29.14,2.43,20.43,0.0,Clear.
"February 4, 2020",43.71,3.57,43.0,0.0,Clear.
"February 5, 2020",38.43,4.14,58.71,0.0,Overcast.
"February 6, 2020",33.71,3.14,41.29,0.0,Clear.
"February 7, 2020",26.0,2.0,37.0,0.0,Passing clouds.
"February 8, 2020",28.86,1.57,33.43,0.0,Sunny.
"February 9, 2020",36.57,2.86,37.57,0.0,Clear.
"February 10, 2020",31.43,1.14,27.71,0.0,Sunny.
"February 11, 2020",45.0,1.43,33.14,0.0,Clear.
"February 12, 2020",34.71,4.43,53.57,0.0,Clear.
"February 13, 2020",25.0,2.0,33.29,0.0,Overcast.
"February 14, 2020",33.71,3.71,53.86,0.0,Partly sunny.
"February 15, 2020",55.14,6.86,52.57,0.0,Clear.
"February 16, 2020",52.86,5.14,25.14,0.0,Clear.
"February 17, 2020",51.14,3.86,24.57,0.0,Clear.
"February 18, 2020",23.29,1.71,12.71,0.0,Sunny.
"February 19, 2020",37.43,3.14,20.71,0.0,Sunny.
"February 20, 2020",24.43,3.43,17.0,0.0,Clear.
"February 21, 2020",33.43,5.57,58.14,0.0,Light rain. Overcast.
"February 22, 2020",16.43,1.43,18.57,0.0,Clear.
"February 23, 2020",44.43,0.57,18.43,0.0,Clear.
"February 24, 2020",54.0,1.14,36.14,0.0,Clear.
"February 25, 2020",35.0,0.86,22.57,0.0,Clear.
"February 26, 2020",42.29,1.43,36.86,0.0,Clear.
"February 27, 2020",57.71,0.86,21.43,0.0,Clear.
"February 28, 2020",52.14,1.86,43.86,0.0,Clear.
"February 29, 2020",44.14,4.57,70.29,0.0,Passing clouds.
"March 1, 2020",41.43,3.14,49.71,0.0,Overcast.
"March 2, 2020",41.43,3.14,49.71,0.0,Overcast.
"March 3, 2020",50.86,4.57,56.71,0.0,Clear.
"March 4, 2020",36.43,2.71,42.14,0.0,Sunny.
"March 5, 2020",27.29,2.57,35.57,0.0,Clear.
"March 6, 2020",38.0,6.43,85.57,0.0,Overcast.
"March 7, 2020",32.43,5.0,76.43,0.0,Overcast.
"March 8, 2020",26.0,2.71,41.29,0.0,Overcast.
"March 9, 2020",16.43,0.29,10.29,0.0,Partly sunny.
"March 10, 2020",39.86,1.86,42.43,0.0,Clear.
"March 11, 2020",39.0,1.29,24.14,0.0,Passing clouds.
"March 12, 2020",37.57,3.86,52.29,0.0,Passing clouds.
"March 13, 2020",27.0,6.0,58.57,0.0,Overcast.
"March 14, 2020",35.0,3.43,60.0,0.0,Passing clouds.
"March 15, 2020",41.71,1.43,48.57,0.0,Overcast.
"March 16, 2020",51.14,2.0,41.14,0.0,Clear.
"March 17, 2020",49.43,4.14,75.29,0.0,Clear.
"March 18, 2020",38.43,2.71,47.43,0.0,Clear.
"March 19, 2020",52.14,3.29,43.29,0.0,Passing clouds.
"March 20, 2020",53.71,2.57,45.29,0.0,Clear.
"March 21, 2020",42.43,1.14,33.86,0.0,Passing clouds.
"March 22, 2020",46.71,1.57,40.43,0.0,Overcast.
"March 23, 2020",27.57,0.86,26.71,0.0,Clear.
"March 24, 2020",36.14,2.14,43.0,0.0,Clear.
"March 25, 2020",26.57,1.14,49.14,0.0,Overcast.
"March 26, 2020",34.71,2.0,42.43,0.0,Overcast.
"March 27, 2020",38.71,1.86,48.14,0.0,Partly sunny.
"March 28, 2020",24.86,4.29,50.86,0.0,Overcast.
"March 29, 2020",30.57,2.14,38.0,0.0,Overcast.
"March 30, 2020",25.29,2.29,39.71,0.0,Passing clouds.
"March 31, 2020",49.86,1.14,35.29,0.0,Clear.
"April 1, 2020",55.86,2.43,78.71,0.0,Light rain. Low clouds.
"April 2, 2020",55.86,2.43,78.71,0.0,Light rain. Low clouds.
"April 3, 2020",34.71,3.29,48.0,0.0,Passing clouds.
"April 4, 2020",46.0,2.71,38.71,0.0,Clear.
"April 5, 2020",46.57,3.43,46.57,0.0,Clear.
"April 6, 2020",47.43,4.71,43.0,0.0,Scattered clouds.
"April 7, 2020",36.86,2.0,28.14,0.0,Passing clouds.
"April 8, 2020",21.86,2.57,30.71,0.0,Partly sunny.
"April 9, 2020",54.43,3.0,51.86,0.0,Passing clouds.
"April 10, 2020",30.86,2.43,31.71,0.0,Passing clouds.
"April 11, 2020",56.43,3.71,58.29,0.0,Passing clouds.
"April 12, 2020",41.0,1.57,30.86,0.0,Clear.
"April 13, 2020",63.57,1.14,31.57,0.0,Clear.
"April 14, 2020",55.43,1.14,31.14,0.0,Clear.
"April 15, 2020",53.0,3.43,51.86,0.0,Clear.
"April 16, 2020",31.14,3.14,39.86,0.0,Thundershowers. Overcast.
"April 17, 2020",67.29,3.71,54.86,0.0,Clear.
"April 18, 2020",22.0,1.71,28.0,0.0,Overcast.
"April 19, 2020",40.43,2.57,76.43,0.0,Light rain. Overcast.
"April 20, 2020",28.0,2.86,41.0,0.0,Clear.
"April 21, 2020",28.71,3.29,38.86,0.0,Passing clouds.
"April 22, 2020",21.43,1.29,27.57,0.0,Passing clouds.
"April 23, 2020",64.14,3.71,61.14,0.0,Passing clouds.
"April 24, 2020",33.43,0.57,15.71,0.0,Clear.
"April 25, 2020",61.71,0.29,9.71,0.0,Clear.
"April 26, 2020",51.14,1.86,48.43,0.0,Clear.
"April 27, 2020",42.71,1.57,38.71,0.0,Sunny.
"April 28, 2020",52.14,3.29,75.57,0.0,Clear.
"April 29, 2020",45.43,0.29,10.57,0.0,Overcast.
"May 1, 2020",55.14,1.71,15.29,0.0,Clear.
"May 2, 2020",55.14,1.71,15.29,0.0,Clear.
"May 3, 2020",58.14,2.0,29.86,0.0,Overcast.
"May 4, 2020",50.14,2.0,16.57,0.0,Overcast.
"May 5, 2020",61.71,1.43,17.43,0.0,Clear.
"May 6, 2020",50.71,3.71,48.86,0.0,Light rain. Overcast.
"May 7, 2020",43.29,2.71,28.71,0.0,Clear.
"May 8, 2020",44.57,2.71,42.86,0.0,Clear.
