,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",42.57,3.98,55.45,23.36,Fog.
"January 2, 2020",42.57,3.98,55.45,23.36,Fog.
"January 3, 2020",51.7,8.98,48.18,28.89,Partly cloudy.
"January 4, 2020",50.66,3.82,37.36,21.92,Passing clouds.
"January 5, 2020",49.98,4.61,52.84,26.67,Passing clouds.
"January 6, 2020",47.39,5.34,64.43,29.47,Haze.
"January 7, 2020",40.5,6.68,65.95,26.06,Partly cloudy.
"January 8, 2020",45.14,3.91,53.89,21.87,Fog.
"January 9, 2020",40.2,3.52,33.02,18.42,Passing clouds.
"January 10, 2020",41.36,4.34,49.2,25.34,Haze.
"January 11, 2020",47.41,5.09,46.93,28.81,Haze.
"January 12, 2020",49.36,5.23,45.95,30.15,Passing clouds.
"January 13, 2020",48.45,6.98,65.32,28.09,Partly cloudy.
"January 14, 2020",41.36,5.82,61.34,26.43,Rain. Partly cloudy.
"January 15, 2020",42.52,6.39,62.8,25.29,Light rain. Mostly cloudy.
"January 16, 2020",48.91,5.2,65.3,29.39,Haze.
"January 17, 2020",45.11,4.09,46.95,24.59,Haze.
"January 18, 2020",46.7,4.66,53.16,28.01,Passing clouds.
"January 19, 2020",42.7,4.43,41.61,25.32,Passing clouds.
"January 20, 2020",45.3,4.7,45.91,26.72,Clear.
"January 21, 2020",47.64,4.91,48.02,26.66,Partly cloudy.
"January 22, 2020",41.68,4.48,66.3,25.38,Partly cloudy.
"January 23, 2020",48.02,6.07,62.18,28.2,Fog.
"January 24, 2020",45.23,6.48,40.0,26.07,Clear.
"January 25, 2020",42.0,3.84,37.11,22.57,Haze.
"January 26, 2020",49.2,4.66,48.43,27.99,Passing clouds.
"January 27, 2020",45.55,4.45,44.0,25.93,Haze.
"January 28, 2020",46.52,4.43,50.02,26.53,Haze.
"January 29, 2020",49.98,6.61,67.89,29.22,Passing clouds.
"January 30, 2020",45.14,6.02,68.61,28.72,Rain. Mostly cloudy.
"January 31, 2020",46.43,4.73,64.41,27.38,Partly cloudy.
"February 1, 2020",50.61,4.89,55.23,29.41,Passing clouds.
"February 2, 2020",50.61,4.89,55.23,29.41,Passing clouds.
"February 3, 2020",50.3,4.66,48.25,28.08,Haze.
"February 4, 2020",49.07,4.55,45.39,27.34,Clear.
"February 5, 2020",39.07,5.39,45.86,22.57,Passing clouds.
"February 6, 2020",46.36,6.41,44.86,25.99,Haze.
"February 7, 2020",23.7,2.0,23.02,13.64,Haze.
"February 8, 2020",51.93,5.02,50.0,29.45,Haze.
"February 9, 2020",50.84,3.95,32.09,23.31,Clear.
"February 10, 2020",50.45,3.73,35.43,21.95,Haze.
"February 11, 2020",51.2,2.59,21.43,15.06,Haze.
"February 12, 2020",58.57,9.68,58.73,29.49,Partly cloudy.
"February 13, 2020",59.48,6.59,49.25,26.09,Partly cloudy.
"February 14, 2020",52.7,5.16,55.59,24.6,Partly cloudy.
"February 15, 2020",48.09,5.34,28.27,22.52,Haze.
"February 16, 2020",55.18,5.27,35.57,27.26,Clear.
"February 17, 2020",50.68,6.93,27.89,23.92,Passing clouds.
"February 18, 2020",58.02,4.98,31.02,28.06,Clear.
"February 19, 2020",58.41,4.55,32.39,27.26,Haze.
"February 20, 2020",42.89,8.55,38.73,22.45,Haze.
"February 21, 2020",46.18,8.39,54.2,21.9,Thunderstorms. Partly cloudy.
"February 22, 2020",56.84,4.86,58.32,28.77,Passing clouds.
"February 23, 2020",47.66,4.07,51.68,24.02,Haze.
"February 24, 2020",56.3,4.2,51.11,25.32,Haze.
"February 25, 2020",58.39,4.55,53.45,27.28,Passing clouds.
"February 26, 2020",60.68,4.66,53.09,27.91,Haze.
"February 27, 2020",57.3,4.3,46.02,25.19,Haze.
"February 28, 2020",52.98,5.23,45.98,23.84,Partly cloudy.
"February 29, 2020",50.93,6.34,62.25,24.55,Partly cloudy.
"March 1, 2020",57.25,6.5,63.8,27.31,Partly cloudy.
"March 2, 2020",57.25,6.5,63.8,27.31,Partly cloudy.
"March 3, 2020",64.45,4.77,58.61,28.59,Haze.
