,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,0,Azad Jammu and Kashmir,Pakistan,3/10/2020,3,2020,34.027401,73.947253,0,0,0,0,117.65,477.36,12.16,0.0,0.0,0.0,1287.02,178.89,5267.62,0.0,0.0,0.0,4334762.096,4.2628,1,1,1.0688,0,0.0,1,1.41,8.85,0.0,0.46,2.88,0.0,2009,59,39.86,1.86,42.43,0,Clear.
1,7,Azad Jammu and Kashmir,Pakistan,3/11/2020,3,2020,34.027401,73.947253,0,0,0,0,127.39,514.15,13.24,0.0,0.0,0.0,1414.41,192.25,5724.54,0.0,0.0,0.0,4334762.096,4.0638,1,1,1.0672,0,0.0,1,2.55,11.34,0.25,0.81,3.6,0.08,2009,59,39.0,1.29,24.14,0,Passing clouds.
2,14,Azad Jammu and Kashmir,Pakistan,3/12/2020,3,2020,34.027401,73.947253,0,0,0,0,137.65,551.75,14.38,0.0,0.0,0.0,1552.06,206.63,6231.46,0.0,0.0,0.0,4334762.096,3.4978,1,1,1.0654,0,0.0,1,2.92,12.78,0.31,0.9,3.92,0.09,2009,59,37.57,3.86,52.29,0,Passing clouds.
3,21,Azad Jammu and Kashmir,Pakistan,3/13/2020,3,2020,34.027401,73.947253,0,0,0,0,148.38,589.8,15.76,0.0,0.0,0.0,1700.44,222.09,6821.26,0.0,0.0,0.0,4334762.096,2.4574,1,1,1.0619,0,0.0001,1,3.28,14.33,0.35,0.97,4.25,0.11,2009,59,27.0,6.0,58.57,0,Overcast.
4,28,Azad Jammu and Kashmir,Pakistan,3/14/2020,3,2020,34.027401,73.947253,0,0,0,0,159.53,627.9,17.24,0.0,0.0,0.0,1859.97,238.83,7449.16,0.0,0.0,0.0,4334762.096,0.8216,1,1,1.0583,0,0.0001,1,3.88,15.88,0.41,1.14,4.67,0.12,2009,59,35.0,3.43,60.0,0,Passing clouds.
5,35,Azad Jammu and Kashmir,Pakistan,3/15/2020,3,2020,34.027401,73.947253,0,0,0,0,171.01,665.69,18.52,0.01,0.0,0.01,2030.98,256.98,8114.85,0.01,0.0,0.01,4334762.096,-1.5236,1,1,1.0548,0,0.0001,1,4.74,23.85,0.47,1.41,7.07,0.14,2009,59,41.71,1.43,48.57,0,Overcast.
6,42,Azad Jammu and Kashmir,Pakistan,3/16/2020,3,2020,34.027401,73.947253,0,0,0,0,182.74,702.84,19.61,0.02,0.01,0.04,2213.72,276.68,8817.69,0.02,0.01,0.03,4334762.096,-4.6664,1,1,1.0512,0,0.0002,1,5.56,26.74,0.71,1.66,8.0,0.21,2009,59,51.14,2.0,41.14,0,Clear.
7,49,Azad Jammu and Kashmir,Pakistan,3/17/2020,3,2020,34.027401,73.947253,0,0,0,0,194.62,738.98,20.71,0.04,0.02,0.06,2408.34,298.09,9556.67,0.01,0.01,0.02,4334762.096,-8.6485,1,1,1.0477,0,0.0004,1,6.94,30.03,0.87,2.06,8.92,0.26,2009,59,49.43,4.14,75.29,0,Clear.
8,56,Azad Jammu and Kashmir,Pakistan,3/18/2020,3,2020,34.027401,73.947253,1,1,0,0,206.53,773.78,21.95,0.04,0.02,0.06,2614.87,321.36,10330.45,0.0,0.0,0.0,4334762.096,-13.448,1,1,1.0459,0,0.0007,1,7.73,33.34,1.05,2.29,9.9,0.31,2009,59,38.43,2.71,47.43,0,Clear.
9,63,Azad Jammu and Kashmir,Pakistan,3/19/2020,3,2020,34.027401,73.947253,1,0,0,0,218.37,806.95,23.38,0.04,0.02,0.07,2833.24,346.6,11137.4,0.0,0.0,0.0,4334762.096,-18.9731,1,1,1.044,0,0.0012,1,8.58,36.86,1.17,2.54,10.91,0.35,2009,59,52.14,3.29,43.29,0,Passing clouds.
