,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,1,Balochistan,Pakistan,3/10/2020,3,2020,28.328492,65.898403,1,1,0,0,4391.17,13219.63,744.92,0.0,0.0,0.0,53928.96,9160.53,212387.64,0.0,0.0,0.0,13398367.25,4.349,1,1,1.0641,0,0.0006,1,25.87,106.47,0.0,8.42,34.66,0.0,6767,201,46.29,15.0,31.43,0.0,Haze.
1,8,Balochistan,Pakistan,3/11/2020,3,2020,28.328492,65.898403,1,0,0,0,4362.51,13022.11,744.42,0.0,0.0,0.0,58291.48,10079.84,223649.59,0.0,0.0,0.0,13398367.25,4.2197,1,1,1.0625,0,0.0011,1,49.26,190.88,7.65,15.65,60.65,2.43,6767,201,31.71,7.0,45.71,0.0,Overcast.
2,15,Balochistan,Pakistan,3/12/2020,3,2020,28.328492,65.898403,1,0,0,0,4332.3,12768.61,747.55,0.0,0.0,0.0,62623.78,10955.44,234230.9,0.0,0.0,0.0,13398367.25,3.9355,1,1,1.0609,0,0.002,1,63.69,245.74,10.37,19.54,75.39,3.18,6767,201,39.86,13.29,70.43,0.0,Overcast.
3,22,Balochistan,Pakistan,3/13/2020,3,2020,28.328492,65.898403,6,5,0,0,4307.77,12483.37,755.37,0.0,0.0,0.0,66931.55,11773.38,244191.89,0.0,0.0,0.0,13398367.25,3.4122,1,1,1.0576,0,0.0035,1,80.07,307.49,13.51,23.77,91.27,4.01,6767,201,43.14,14.71,48.43,0.0,Passing clouds.
4,29,Balochistan,Pakistan,3/14/2020,3,2020,28.328492,65.898403,6,0,0,0,4294.89,12187.45,768.7,0.56,0.31,0.97,71226.44,12584.67,253603.62,0.56,0.31,0.97,13398367.25,2.543,1,1,1.0543,0,0.0059,1,104.88,385.22,16.94,30.87,113.36,4.99,6767,201,33.71,5.29,26.57,0.0,Haze.
5,36,Balochistan,Pakistan,3/15/2020,3,2020,28.328492,65.898403,11,5,0,0,4298.93,11594.35,774.8,0.56,0.31,0.97,75525.37,13413.66,262544.22,0.0,0.0,0.01,13398367.25,1.2134,1,1,1.051,0,0.0095,1,140.84,477.23,21.48,41.73,141.4,6.37,6767,201,40.43,7.43,41.0,0.0,Clear.
6,43,Balochistan,Pakistan,3/16/2020,3,2020,28.328492,65.898403,14,3,0,0,4324.41,11098.91,786.18,0.57,0.31,0.98,79849.78,14270.03,271096.06,0.0,0.0,0.01,13398367.25,-0.6782,1,1,1.0477,0,0.015,1,175.76,553.27,26.38,52.56,165.47,7.89,6767,201,57.86,14.0,48.14,0.0,Haze.
7,50,Balochistan,Pakistan,3/17/2020,3,2020,28.328492,65.898403,15,1,0,0,4375.0,10874.13,804.04,0.57,0.31,0.98,84224.79,15160.65,279343.43,0.0,0.0,0.01,13398367.25,-3.2026,1,1,1.0444,0,0.0228,1,227.06,859.57,35.88,67.41,255.2,10.65,6767,201,60.71,11.57,37.0,0.0,Overcast.
8,57,Balochistan,Pakistan,3/18/2020,3,2020,28.328492,65.898403,23,8,0,0,4453.52,10795.93,829.98,1.31,0.72,2.26,88678.31,16093.5,287371.55,0.74,0.41,1.28,13398367.25,-6.3829,1,1,1.0427,0,0.0333,1,261.29,978.07,40.03,77.57,290.36,11.88,6767,201,33.86,6.71,24.0,0.0,Passing clouds.
9,64,Balochistan,Pakistan,3/19/2020,3,2020,28.328492,65.898403,81,58,0,0,4562.39,11343.35,865.3,3.28,1.8,5.65,93240.7,17077.46,295267.41,1.97,1.08,3.39,13398367.25,-10.1877,1,1,1.041,0,0.0469,1,296.09,1094.78,43.63,87.65,324.09,12.91,6767,201,48.71,9.0,37.43,0.0,Clear.
10,71,Balochistan,Pakistan,3/20/2020,3,2020,28.328492,65.898403,103,22,0,0,4703.87,11686.91,911.16,6.47,3.54,11.13,97944.56,18122.33,303121.32,3.18,1.74,5.48,13398367.25,-14.5215,1,1,1.0375,0,0.0635,1,332.73,1212.59,45.27,97.77,356.3,13.3,6767,201,50.57,7.0,36.29,0.0,Haze.
11,78,Balochistan,Pakistan,3/21/2020,3,2020,28.328492,65.898403,104,1,0,0,4880.18,11772.32,968.44,10.61,5.8,18.26,102824.74,19238.61,311121.34,4.14,2.27,7.13,13398367.25,-19.2215,1,1,1.034,0,0.0828,1,369.73,1325.35,46.14,107.25,384.46,13.38,6767,201,53.43,13.43,35.71,0.0,Passing clouds.
12,85,Balochistan,Pakistan,3/22/2020,3,2020,28.328492,65.898403,108,4,1,1,5093.64,12207.96,1038.06,15.26,8.35,26.26,107918.38,20399.12,319432.74,4.65,2.54,8.0,13398367.25,-24.0641,1,1,1.0305,0,0.1038,1,406.71,1427.52,52.45,116.38,408.47,15.01,6767,201,41.57,6.14,28.71,0.0,Passing clouds.
13,92,Balochistan,Pakistan,3/23/2020,3,2020,28.328492,65.898403,110,2,1,0,5346.75,12731.18,1121.21,19.99,10.93,34.39,113265.13,21524.42,328016.27,4.72,2.58,8.12,13398367.25,-28.7848,1,1,1.027,0,0.125,1,448.09,1536.59,59.38,127.16,436.06,16.85,6767,201,33.57,13.14,23.71,0.0,Overcast.
14,99,Balochistan,Pakistan,3/24/2020,3,2020,28.328492,65.898403,115,5,1,0,5642.49,13551.41,1219.34,24.43,13.36,42.03,118907.62,22747.79,336972.99,4.44,2.43,7.64,13398367.25,-33.1243,1,1,1.0236,0,0.1447,1,478.83,1624.83,61.59,136.38,462.76,17.54,6767,201,41.0,11.71,43.14,0.0,Overcast.
15,106,Balochistan,Pakistan,3/25/2020,3,2020,28.328492,65.898403,131,16,1,0,5984.23,14427.49,1334.17,28.32,15.49,48.72,124891.85,24085.71,346406.82,3.89,2.13,6.69,13398367.25,-36.8789,1,1,1.0218,0,0.1608,1,501.3,1694.42,63.61,144.03,486.82,18.28,6767,201,33.57,7.86,29.29,0.0,Haze.
16,113,Balochistan,Pakistan,3/26/2020,3,2020,28.328492,65.898403,131,0,1,0,6375.79,15374.13,1447.49,31.47,17.21,54.14,131267.64,25556.59,356426.54,3.15,1.73,5.43,13398367.25,-39.9218,1,1,1.02,0,0.1716,1,519.41,1747.47,65.4,150.58,506.59,18.96,6767,201,58.14,13.43,48.29,0.0,Passing clouds.
17,120,Balochistan,Pakistan,3/27/2020,3,2020,28.328492,65.898403,133,2,1,0,6821.42,16323.3,1567.61,33.79,18.48,58.13,138089.06,27181.02,367147.69,2.32,1.27,3.98,13398367.25,-42.2077,1,1,1.0164,0,0.1817,1,535.14,1789.69,66.47,156.62,523.78,19.45,6767,201,41.71,9.14,35.29,0.0,Partly sunny.
18,127,Balochistan,Pakistan,3/28/2020,3,2020,28.328492,65.898403,138,5,1,0,7325.85,16926.91,1677.72,35.25,19.28,60.64,145414.91,28981.99,378694.07,1.46,0.8,2.51,13398367.25,-43.7625,1,1,1.0127,0,0.1914,1,548.21,1802.44,65.63,161.24,530.14,19.3,6767,201,31.57,10.29,26.71,0.0,Overcast.
19,134,Balochistan,Pakistan,3/29/2020,3,2020,28.328492,65.898403,144,6,1,0,7894.12,18043.63,1799.7,35.91,19.64,61.78,153309.03,30985.11,391463.23,0.66,0.36,1.14,13398367.25,-44.6614,1,1,1.0091,0,0.201,1,562.85,1812.94,64.63,166.2,535.32,19.08,6767,201,31.57,10.29,26.71,0.0,Overcast.
20,141,Balochistan,Pakistan,3/30/2020,3,2020,28.328492,65.898403,153,9,1,0,8531.47,19365.15,1938.75,35.91,19.64,61.79,161840.5,33218.83,407598.78,0.0,0.0,0.01,13398367.25,-45.0123,1,1,1.0055,0,0.2105,1,578.31,1826.09,61.34,171.35,541.05,18.17,6767,201,38.86,9.43,36.29,0.0,Passing clouds.
21,148,Balochistan,Pakistan,3/31/2020,3,2020,28.328492,65.898403,158,5,1,0,9243.2,20815.67,2096.82,35.92,19.64,61.79,171083.7,35499.73,424921.21,0.0,0.0,0.01,13398367.25,-44.9356,1,1,1.0018,0,0.2199,1,597.04,1869.21,58.61,177.17,554.68,17.39,6767,201,39.43,5.86,45.86,0.0,Light rain. Overcast.
22,155,Balochistan,Pakistan,4/1/2020,4,2020,28.328492,65.898403,169,11,1,0,10034.53,22474.23,2275.53,35.92,19.65,61.8,181118.23,37938.25,443576.2,0.0,0.0,0.01,13398367.25,-44.55,1,1,1.0,0,0.2294,1,620.74,1903.82,64.03,184.43,565.66,19.02,6767,201,55.57,12.43,51.14,0.0,Clear.
23,162,Balochistan,Pakistan,4/2/2020,4,2020,28.328492,65.898403,169,0,1,0,10910.41,24208.98,2476.41,35.92,19.65,61.8,192028.65,40590.0,463714.43,0.0,0.0,0.01,13398367.25,-43.9671,1,1,0.9981,0,0.2388,1,651.95,1934.84,72.47,193.53,574.36,21.51,6767,201,55.57,12.43,51.14,0.0,Clear.
