,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,3,Islamabad,Pakistan,3/10/2020,3,2020,33.665087,73.121219,2,2,0,0,303.78,830.03,71.07,0.0,0.0,0.0,3279.76,615.53,10734.78,0.0,0.0,0.0,2155173.482,3.1968,1,1,1.0688,0,0.0005,1,2.56,14.44,0.0,0.83,4.7,0.0,2567,52,33.71,0.0,0.0,0.0,Sunny.
1,10,Islamabad,Pakistan,3/11/2020,3,2020,33.665087,73.121219,2,0,0,0,325.37,877.49,78.55,0.0,0.0,0.0,3605.13,687.99,11595.61,0.0,0.0,0.0,2155173.482,2.5721,1,1,1.0671,0,0.0009,1,4.99,22.26,0.28,1.59,7.07,0.09,2567,52,77.14,6.43,30.43,21.28,Overcast.
2,17,Islamabad,Pakistan,3/12/2020,3,2020,33.665087,73.121219,2,0,0,0,347.1,923.49,86.46,0.0,0.0,0.0,3952.23,767.0,12496.41,0.0,0.0,0.0,2155173.482,1.408,1,1,1.0653,0,0.0017,1,5.76,25.16,0.35,1.77,7.72,0.11,2567,52,72.43,9.43,34.43,25.52,Clear.
3,24,Islamabad,Pakistan,3/13/2020,3,2020,33.665087,73.121219,3,1,0,0,368.64,967.05,94.79,0.0,0.0,0.0,4320.88,858.26,13434.81,0.0,0.0,0.0,2155173.482,-0.403,1,1,1.0618,0,0.0028,1,6.54,27.1,0.45,1.94,8.04,0.13,2567,52,72.57,12.57,20.71,25.57,Clear.
4,31,Islamabad,Pakistan,3/14/2020,3,2020,33.665087,73.121219,4,1,0,0,389.67,1007.14,103.45,0.03,0.02,0.06,4710.55,961.7,14407.76,0.03,0.02,0.06,2155173.482,-2.952,1,1,1.0583,0,0.0047,1,7.95,36.1,0.56,2.34,10.62,0.17,2567,52,60.0,2.29,10.71,8.55,Clear.
5,38,Islamabad,Pakistan,3/15/2020,3,2020,33.665087,73.121219,4,0,0,0,409.83,1042.73,111.5,0.03,0.02,0.06,5120.38,1074.08,15416.0,0.0,0.0,0.0,2155173.482,-6.295,1,1,1.0547,0,0.0076,1,9.44,39.3,0.69,2.8,11.64,0.2,2567,52,72.29,0.71,6.29,4.28,Clear.
6,45,Islamabad,Pakistan,3/16/2020,3,2020,33.665087,73.121219,4,0,0,0,428.77,1072.92,118.17,0.03,0.02,0.06,5549.15,1195.58,16450.62,0.0,0.0,0.0,2155173.482,-10.4416,1,1,1.0512,0,0.0118,1,11.43,51.08,0.98,3.42,15.28,0.29,2567,52,85.71,5.43,27.43,21.41,Clear.
7,52,Islamabad,Pakistan,3/17/2020,3,2020,33.665087,73.121219,5,1,0,0,446.26,1097.08,124.71,0.03,0.02,0.06,5995.41,1326.32,17506.52,0.0,0.0,0.0,2155173.482,-15.3551,1,1,1.0477,0,0.0178,1,14.57,56.42,1.36,4.33,16.75,0.4,2567,52,77.43,8.43,36.71,25.7,Clear.
8,59,Islamabad,Pakistan,3/18/2020,3,2020,33.665087,73.121219,5,0,0,0,462.09,1114.88,131.18,0.03,0.02,0.06,6457.5,1466.36,18578.4,0.0,0.0,0.0,2155173.482,-20.954,1,1,1.0459,0,0.0258,1,16.31,62.3,1.6,4.84,18.5,0.47,2567,52,58.0,4.14,14.14,12.85,Clear.
9,66,Islamabad,Pakistan,3/19/2020,3,2020,33.665087,73.121219,10,5,0,0,476.16,1126.33,137.75,0.06,0.04,0.1,6933.66,1615.71,19660.96,0.02,0.01,0.04,2155173.482,-27.1144,1,1,1.044,0,0.036,1,18.19,68.12,1.87,5.38,20.17,0.55,2567,52,81.0,4.0,19.43,17.1,Clear.
10,73,Islamabad,Pakistan,3/20/2020,3,2020,33.665087,73.121219,10,0,0,0,488.4,1131.62,144.15,0.11,0.07,0.19,7422.06,1774.34,20749.04,0.05,0.03,0.09,2155173.482,-33.6699,1,1,1.0403,0,0.0486,1,20.3,74.85,2.19,5.97,21.99,0.64,2567,52,83.86,7.43,17.43,21.28,Clear.
11,80,Islamabad,Pakistan,3/21/2020,3,2020,33.665087,73.121219,11,1,0,0,498.81,1131.06,150.37,0.17,0.1,0.29,7920.87,1942.19,21837.71,0.06,0.04,0.11,2155173.482,-40.4148,1,1,1.0365,0,0.0631,1,22.64,82.27,2.57,6.57,23.86,0.75,2567,52,70.0,10.43,38.43,25.49,Clear.
