,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,4,Khyber Pakhtunkhwa,Pakistan,3/10/2020,3,2020,34.485332,72.09169,0,0,0,0,11384.85,35439.52,1084.85,0.0,0.0,0.0,85730.58,6780.53,253710.52,0.0,0.0,0.0,38100470.55,5.5444,1,1,1.0689,0,0.0,1,56.19,196.56,0.0,18.29,63.98,0.0,23948,643,48.8,4.64,49.2,23.21,Fog.
1,11,Khyber Pakhtunkhwa,Pakistan,3/11/2020,3,2020,34.485332,72.09169,0,0,0,0,13035.61,41080.5,1264.5,0.0,0.0,0.0,98766.18,8045.04,293948.98,0.0,0.0,0.0,38100470.55,5.5144,1,1,1.0673,0,0.0001,1,93.38,239.61,5.57,29.67,76.14,1.77,23948,643,52.7,4.98,55.7,25.14,Passing clouds.
2,18,Khyber Pakhtunkhwa,Pakistan,3/12/2020,3,2020,34.485332,72.09169,0,0,0,0,14867.9,48041.84,1468.02,0.0,0.0,0.0,113634.09,9513.06,339780.18,0.0,0.0,0.0,38100470.55,5.1126,1,1,1.0655,0,0.0001,1,112.94,290.09,7.44,34.65,89.0,2.28,23948,643,56.25,6.0,58.64,27.14,Partly cloudy.
3,25,Khyber Pakhtunkhwa,Pakistan,3/13/2020,3,2020,34.485332,72.09169,0,0,0,0,16879.73,55739.16,1696.87,0.0,0.0,0.0,130513.82,11209.93,391632.45,0.0,0.0,0.0,38100470.55,4.2669,1,1,1.0619,0,0.0001,1,134.33,348.98,9.65,39.87,103.59,2.86,23948,643,46.98,7.02,71.57,25.2,Partly cloudy.
4,32,Khyber Pakhtunkhwa,Pakistan,3/14/2020,3,2020,34.485332,72.09169,0,0,0,0,19062.99,64095.17,1952.25,0.0,0.0,0.0,149576.81,13162.18,450521.14,0.0,0.0,0.0,38100470.55,2.8945,1,1,1.0584,0,0.0002,1,163.09,422.41,12.17,48.0,124.31,3.58,23948,643,50.95,4.8,64.11,26.63,Fog.
5,39,Khyber Pakhtunkhwa,Pakistan,3/15/2020,3,2020,34.485332,72.09169,0,0,0,0,21402.99,72922.9,2235.06,4.07,1.94,7.38,170979.8,15397.23,518475.35,4.07,1.94,7.37,38100470.55,0.9172,1,1,1.0549,0,0.0003,1,203.34,550.97,15.37,60.25,163.25,4.55,23948,643,58.39,5.68,63.05,28.69,Haze.
6,46,Khyber Pakhtunkhwa,Pakistan,3/16/2020,3,2020,34.485332,72.09169,15,15,0,0,23878.3,82137.98,2545.89,10.56,5.02,19.12,194858.1,17943.12,593940.77,6.48,3.08,11.74,38100470.55,-1.7276,1,1,1.0513,0,0.0006,1,247.31,717.92,18.08,73.96,214.71,5.41,23948,643,31.8,2.84,32.09,14.35,Haze.
7,53,Khyber Pakhtunkhwa,Pakistan,3/17/2020,3,2020,34.485332,72.09169,17,2,0,0,26462.07,91561.44,2885.1,17.93,8.53,32.48,221320.17,20828.22,676910.25,7.38,3.51,13.36,38100470.55,-5.0758,1,1,1.0478,0,0.001,1,303.92,854.31,21.3,90.23,253.63,6.32,23948,643,57.98,3.66,39.0,19.8,Haze.
8,60,Khyber Pakhtunkhwa,Pakistan,3/18/2020,3,2020,34.485332,72.09169,19,2,2,2,29123.79,100932.59,3252.82,25.11,11.95,45.47,250443.95,24081.04,776348.38,7.17,3.41,12.99,38100470.55,-9.1201,1,1,1.046,0,0.0018,1,350.46,998.75,25.13,104.04,296.5,7.46,23948,643,60.82,6.14,55.84,27.31,Passing clouds.
9,67,Khyber Pakhtunkhwa,Pakistan,3/19/2020,3,2020,34.485332,72.09169,23,4,2,0,31831.58,109999.91,3649.09,31.39,14.94,56.85,282275.53,27730.13,886348.29,6.28,2.99,11.38,38100470.55,-13.7983,1,1,1.0441,0,0.0031,1,403.9,1165.27,29.64,119.57,344.96,8.77,23948,643,64.16,5.16,50.0,27.95,Passing clouds.
