,S.No,Province,Country_Region,Date,Month,Year,Lat,Long_,Confirmed,Daily_Confirmed,Deaths,Daily_Deaths,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,population,mobility_mean,mobility_obs,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,all_bed_capacity,icu_bed_capacity,Temp,Wind,Barometer,Visibility,Weather
0,6,Sindh,Pakistan,3/10/2020,3,2020,26.009446,68.776807,0,0,0,0,7191.18,19243.21,2463.81,0.0,0.0,0.0,49319.53,16346.08,127723.64,0.0,0.0,0.0,49907675.66,-0.1035,1,1,1.0623,0,0.0712,1,7.79,51.86,0.0,2.53,16.88,0.0,31732,848,33.71,0.0,0.0,0.0,Sunny.
1,13,Sindh,Pakistan,3/11/2020,3,2020,26.009446,68.776807,0,0,0,0,8442.86,22327.43,2885.01,0.0,0.0,0.0,57762.39,19227.94,150430.83,0.0,0.0,0.0,49907675.66,-0.7392,1,1,1.0608,0,0.0841,1,24.19,114.9,0.0,7.69,36.51,0.0,31732,848,77.14,6.43,30.43,21.28,Overcast.
2,20,Sindh,Pakistan,3/12/2020,3,2020,26.009446,68.776807,0,0,0,0,9866.54,25620.77,3367.48,0.0,0.0,0.0,67628.93,22800.97,176870.39,0.0,0.0,0.0,49907675.66,-1.8236,1,1,1.0592,0,0.0958,1,47.76,145.9,0.0,14.65,44.76,0.0,31732,848,72.43,9.43,34.43,25.52,Clear.
3,27,Sindh,Pakistan,3/13/2020,3,2020,26.009446,68.776807,0,0,0,0,11465.27,29127.38,3914.67,0.0,0.0,0.0,79094.2,27009.58,207349.63,0.0,0.0,0.0,49907675.66,-3.4745,1,1,1.056,0,0.1052,1,76.1,179.16,28.1,22.59,53.18,8.34,31732,848,72.57,12.57,20.71,25.57,Clear.
4,34,Sindh,Pakistan,3/14/2020,3,2020,26.009446,68.776807,0,0,0,0,13235.76,32908.95,4528.68,0.0,0.0,0.0,92329.96,31888.71,242087.6,0.0,0.0,0.0,49907675.66,-5.8112,1,1,1.0528,0,0.1147,1,90.54,214.03,33.61,26.65,62.99,9.89,31732,848,60.0,2.29,10.71,8.55,Clear.
5,41,Sindh,Pakistan,3/15/2020,3,2020,26.009446,68.776807,0,0,0,0,15168.32,37036.48,5181.09,0.0,0.0,0.0,107498.28,37442.74,281182.63,0.0,0.0,0.0,49907675.66,-8.9395,1,1,1.0496,0,0.1242,1,103.89,245.69,38.62,30.78,72.8,11.44,31732,848,72.29,0.71,6.29,4.28,Clear.
6,48,Sindh,Pakistan,3/16/2020,3,2020,26.009446,68.776807,0,0,0,0,17246.92,41685.84,5873.99,0.0,0.0,0.0,124745.19,43401.8,324598.64,0.0,0.0,0.0,49907675.66,-12.9292,1,1,1.0464,0,0.134,1,126.97,285.05,44.21,37.97,85.25,13.22,31732,848,85.71,5.43,27.43,21.41,Clear.
7,55,Sindh,Pakistan,3/17/2020,3,2020,26.009446,68.776807,0,0,0,0,19451.21,46388.68,6617.34,0.0,0.0,0.0,144196.4,50174.96,372188.78,0.0,0.0,0.0,49907675.66,-17.7893,1,1,1.0432,0,0.1441,1,162.44,389.4,57.61,48.23,115.61,17.11,31732,848,77.43,8.43,36.71,25.7,Clear.
8,62,Sindh,Pakistan,3/18/2020,3,2020,26.009446,68.776807,0,0,0,0,21757.61,50983.63,7401.96,0.0,0.0,0.0,165954.01,57824.95,423708.88,0.0,0.0,0.0,49907675.66,-23.4481,1,1,1.0415,0,0.1544,1,207.79,501.13,75.23,61.69,148.77,22.33,31732,848,58.0,4.14,14.14,12.85,Clear.
9,69,Sindh,Pakistan,3/19/2020,3,2020,26.009446,68.776807,0,0,0,0,24139.84,54975.51,8227.67,0.0,0.0,0.0,190093.85,66410.82,478837.35,0.0,0.0,0.0,49907675.66,-29.7463,1,1,1.0399,0,0.1649,1,262.89,635.08,92.13,77.82,188.01,27.28,31732,848,81.0,4.0,19.43,17.1,Clear.
