,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
0,Azad Jammu and Kashmir,Pakistan,02/01/2021 5:22,34.027401,73.947253,8303.0,224.0,205.247189,2.697820065
1,Balochistan,Pakistan,02/01/2021 5:22,28.328492,65.898403,18181.0,184.0,147.2812629,1.012045542
2,Gilgit-Baltistan,Pakistan,02/01/2021 5:22,35.792146,74.982138,4862.0,101.0,479.6839729,2.07733443
3,Islamabad,Pakistan,02/01/2021 5:22,33.665087,73.121219,38020.0,421.0,1894.773773,1.107311941
4,Khyber Pakhtunkhwa,Pakistan,02/01/2021 5:22,34.485332,72.09169,59023.0,1661.0,193.3698608,2.814157193
5,Punjab,Pakistan,02/01/2021 5:22,30.811346,72.139132,139341.0,4085.0,126.65931,2.931656871
6,Sindh,Pakistan,02/01/2021 5:22,26.009446,68.776807,216632.0,3582.0,452.3906137,1.653495328
7,Azad Jammu and Kashmir,Pakistan,2021-01-03 05:22:52,34.027401,73.947253,8325.0,226.0,205.7910211338109,2.714714714714715
8,Balochistan,Pakistan,2021-01-03 05:22:52,28.328492,65.898403,18218.0,185.0,147.58099375846942,1.0154791963991656
9,Gilgit-Baltistan,Pakistan,2021-01-03 05:22:52,35.792146,74.982138,4866.0,101.0,480.0786121327882,2.075626798191533
10,Islamabad,Pakistan,2021-01-03 05:22:52,33.665087,73.121219,38146.0,424.0,1901.053139383984,1.1115189010643318
11,Khyber Pakhtunkhwa,Pakistan,2021-01-03 05:22:52,34.485332,72.09169,59255.0,1672.0,194.1299340757612,2.821702809889461
12,Punjab,Pakistan,2021-01-03 05:22:52,30.811346,72.13913199999998,140188.0,4109.0,127.4292229600721,2.931063999771735
13,Sindh,Pakistan,2021-01-03 05:22:52,26.009446,68.77680699999999,217636.0,3594.0,454.4872576776064,1.6513812053152972
14,Azad Jammu and Kashmir,Pakistan,2021-01-04 05:22:02,34.027401,73.947253,8357.0,226.0,206.5820496835144,2.70431973196123
15,Balochistan,Pakistan,2021-01-04 05:22:02,28.328492,65.898403,18247.0,185.0,147.81591794438418,1.0138652929248644
16,Gilgit-Baltistan,Pakistan,2021-01-04 05:22:02,35.792146,74.982138,4867.0,101.0,480.1772719379943,2.0752003287446064
17,Islamabad,Pakistan,2021-01-04 05:22:02,33.665087,73.121219,38263.0,428.0,1906.883979244204,1.1185740793978518
18,Khyber Pakhtunkhwa,Pakistan,2021-01-04 05:22:02,34.485332,72.09169,59484.0,1675.0,194.88017886359933,2.815883262726111
19,Punjab,Pakistan,2021-01-04 05:22:02,30.811346,72.13913199999998,140714.0,4124.0,127.90735069766018,2.930767372116492
20,Sindh,Pakistan,2021-01-04 05:22:02,26.009446,68.77680699999999,218597.0,3611.0,456.4941051413908,1.6518982419703838
21,Azad Jammu and Kashmir,Pakistan,2021-01-05 05:21:49,34.027401,73.947253,8383.0,229.0,207.22476038014852,2.731718955028033
22,Balochistan,Pakistan,2021-01-05 05:21:49,28.328492,65.898403,18254.0,185.0,147.87262378236363,1.013476498301742
23,Gilgit-Baltistan,Pakistan,2021-01-05 05:21:49,35.792146,74.982138,4870.0,101.0,480.4732513536125,2.0739219712525667
24,Islamabad,Pakistan,2021-01-05 05:21:49,33.665087,73.121219,38395.0,428.0,1913.462362676246,1.1147284802708686
25,Khyber Pakhtunkhwa,Pakistan,2021-01-05 05:21:49,34.485332,72.09169,59729.0,1683.0,195.6828425012428,2.817726732408043
26,Punjab,Pakistan,2021-01-05 05:21:49,30.811346,72.13913199999998,141393.0,4160.0,128.52455361367217,2.9421541377578806
27,Sindh,Pakistan,2021-01-05 05:21:49,26.009446,68.77680699999999,219452.0,3623.0,458.27959377982535,1.6509304996081149
