,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",40.71,4.27,50.77,18.87,Fog.
"January 2, 2020",40.71,4.27,50.77,18.87,Fog.
"January 3, 2020",46.33,1.56,15.83,8.19,Fog.
"January 4, 2020",51.79,0.25,1.17,1.25,Fog.
"January 5, 2020",50.38,1.67,18.0,8.75,Clear.
"January 6, 2020",45.5,4.1,52.5,16.93,Fog.
"January 7, 2020",46.25,6.08,77.96,25.1,Drizzle. Mostly cloudy.
"January 8, 2020",49.75,2.69,38.1,13.79,Mostly cloudy.
"January 9, 2020",51.44,0.21,3.31,1.25,Passing clouds.
"January 10, 2020",47.56,0.9,11.33,4.39,Fog.
"January 11, 2020",43.6,0.0,0.0,0.0,Fog.
"January 12, 2020",52.38,0.1,1.23,0.63,Fog.
"January 13, 2020",49.19,8.04,53.31,23.16,Partly cloudy.
"January 14, 2020",52.06,7.71,75.73,26.1,Mostly cloudy.
"January 15, 2020",50.1,5.65,34.54,18.76,Clear.
"January 16, 2020",48.9,0.0,0.0,0.0,Fog.
"January 17, 2020",53.29,1.94,14.04,8.13,Fog.
"January 18, 2020",51.15,0.0,0.0,0.0,Clear.
"January 19, 2020",51.25,0.21,2.31,1.25,Clear.
"January 20, 2020",50.29,0.21,2.04,1.25,Clear.
"January 21, 2020",54.35,0.46,6.25,2.51,Fog.
"January 22, 2020",51.98,1.42,15.81,7.52,Fog.
"January 23, 2020",52.44,1.54,19.08,8.82,Clear.
"January 24, 2020",54.6,0.1,1.08,0.63,Clear.
"January 25, 2020",56.85,2.75,18.92,10.01,Clear.
"January 26, 2020",60.12,1.98,20.71,9.37,Fog.
"January 27, 2020",60.12,1.98,20.71,9.37,Fog.
"January 28, 2020",55.31,6.33,48.21,19.92,Passing clouds.
"January 29, 2020",53.75,4.71,53.0,19.89,Passing clouds.
"January 30, 2020",54.75,3.04,23.46,11.27,Passing clouds.
"January 31, 2020",54.79,0.31,3.27,1.88,Clear.
"February 1, 2020",56.73,0.98,6.85,4.38,Clear.
"February 2, 2020",56.73,0.98,6.85,4.38,Clear.
"February 3, 2020",52.88,1.52,9.17,6.9,Clear.
"February 4, 2020",54.98,2.58,15.46,10.02,Haze.
"February 5, 2020",57.29,5.15,49.31,21.91,Clear.
"February 6, 2020",57.29,5.15,49.31,21.91,Clear.
"February 7, 2020",25.38,0.71,7.19,3.75,Clear.
"February 8, 2020",55.52,0.62,5.19,3.76,Clear.
"February 9, 2020",56.06,2.1,14.29,9.42,Clear.
"February 10, 2020",56.06,2.1,14.29,9.42,Clear.
"February 11, 2020",57.31,2.46,13.54,10.03,Passing clouds.
"February 12, 2020",57.31,2.46,13.54,10.03,Passing clouds.
"February 13, 2020",52.4,2.48,26.52,13.19,Passing clouds.
"February 14, 2020",61.17,1.62,16.17,8.79,Passing clouds.
"February 15, 2020",64.77,1.75,10.38,10.0,Clear.
"February 16, 2020",64.77,1.75,10.38,10.0,Clear.
"February 17, 2020",63.6,1.62,5.23,6.26,Passing clouds.
"February 18, 2020",63.29,0.73,5.54,4.38,Clear.
"February 19, 2020",62.88,3.65,18.02,13.09,Clear.
"February 20, 2020",63.67,4.54,27.19,18.62,Passing clouds.
"February 21, 2020",54.04,10.56,47.21,25.58,Clear.
"February 22, 2020",59.85,6.02,49.04,22.53,Clear.
"February 23, 2020",59.85,6.02,49.04,22.53,Clear.
"February 24, 2020",54.81,0.29,1.98,1.25,Passing clouds.
"February 25, 2020",64.48,1.54,11.73,7.52,Clear.
"February 26, 2020",68.48,3.23,22.52,13.09,Clear.
"February 27, 2020",68.29,1.35,12.5,8.1,Clear.
"February 28, 2020",73.88,5.29,41.79,22.4,Passing clouds.
"February 29, 2020",73.88,5.29,41.79,22.4,Passing clouds.
"March 1, 2020",61.83,6.42,56.0,23.11,Clear.
"March 2, 2020",61.83,6.42,56.0,23.11,Clear.
"March 3, 2020",65.46,0.62,6.23,3.74,Clear.
"March 4, 2020",61.1,1.69,13.1,8.08,Clear.
