,Temp,Wind,Barometer,Visibility,Weather
"January 1, 2020",37.86,2.14,20.14,8.64,Fog.
"January 2, 2020",37.86,2.14,20.14,8.64,Fog.
"January 3, 2020",29.86,0.71,10.57,4.33,Passing clouds.
"January 4, 2020",28.29,2.71,27.71,12.9,Fog.
"January 5, 2020",28.0,2.0,7.0,4.29,Fog.
"January 6, 2020",33.86,3.14,25.86,12.93,Overcast.
"January 7, 2020",27.0,4.0,46.29,17.25,Overcast.
"January 8, 2020",34.29,3.14,51.86,17.19,Drizzle. Overcast.
"January 9, 2020",34.29,3.14,51.86,17.19,Drizzle. Overcast.
"January 10, 2020",18.43,0.0,0.0,0.0,Fog.
"January 11, 2020",40.43,4.71,35.43,17.25,Fog.
"January 12, 2020",41.29,1.43,15.71,8.62,Fog.
"January 13, 2020",34.57,3.43,29.43,12.91,Overcast.
"January 14, 2020",33.29,7.14,19.0,21.34,Light rain. Overcast.
"January 15, 2020",55.29,3.43,43.71,17.18,Light rain. Low clouds.
"January 16, 2020",36.0,1.43,19.43,8.59,Fog.
"January 17, 2020",27.14,2.0,20.57,8.58,Fog.
"January 18, 2020",37.71,1.43,13.86,8.57,Fog.
"January 19, 2020",37.71,1.43,13.86,8.57,Fog.
"January 20, 2020",35.86,2.43,21.57,12.91,Haze.
"January 21, 2020",45.57,1.71,13.57,8.59,Passing clouds.
"January 22, 2020",49.86,7.57,72.57,30.2,Overcast.
"January 23, 2020",43.43,5.14,34.43,17.28,Fog.
"January 24, 2020",41.71,4.0,11.71,8.6,Fog.
"January 25, 2020",59.0,4.71,30.14,21.45,Clear.
"January 26, 2020",13.86,0.43,10.0,4.29,Passing clouds.
"January 27, 2020",44.86,1.43,11.14,8.56,Fog.
"January 28, 2020",29.71,1.14,15.0,8.54,Clear.
"January 29, 2020",20.43,2.71,14.86,8.55,Light rain. Overcast.
"January 30, 2020",43.43,4.14,51.86,21.51,Light rain. Overcast.
"January 31, 2020",50.43,3.14,39.29,17.12,Fog.
"February 1, 2020",16.29,2.0,15.29,8.61,Haze.
"February 2, 2020",32.14,4.71,18.0,12.9,Fog.
"February 3, 2020",32.14,4.71,18.0,12.9,Fog.
"February 4, 2020",52.86,2.86,28.71,17.17,Fog.
"February 5, 2020",48.86,2.57,32.43,12.93,Fog.
"February 6, 2020",44.43,4.14,11.86,8.57,Fog.
"February 7, 2020",44.43,4.14,11.86,8.57,Fog.
"February 8, 2020",20.86,1.0,8.0,4.31,Fog.
"February 9, 2020",35.0,0.43,6.86,4.32,Fog.
"February 10, 2020",31.0,0.43,9.29,4.32,Fog.
"February 11, 2020",55.71,2.57,24.57,17.2,Fog.
"February 12, 2020",49.0,2.14,22.29,12.94,Overcast.
"February 13, 2020",24.57,1.71,17.71,8.61,Overcast.
"February 14, 2020",45.71,6.0,40.57,21.45,Overcast.
"February 15, 2020",71.57,16.86,59.86,34.24,Haze.
"February 16, 2020",53.29,8.14,40.86,25.68,Clear.
"February 17, 2020",54.29,8.57,25.86,21.45,Passing clouds.
"February 18, 2020",17.14,2.57,3.14,4.28,Sunny.
"February 19, 2020",27.14,2.43,17.71,12.85,Scattered clouds.
"February 20, 2020",34.0,6.14,10.71,8.3,Passing clouds.
"February 21, 2020",32.14,5.71,40.86,17.18,Thunderstorms. Overcast.
"February 22, 2020",22.43,0.71,9.43,4.31,Fog.
"February 23, 2020",39.0,0.43,9.0,4.31,Clear.
"February 24, 2020",70.43,5.0,59.43,30.1,Fog.
"February 25, 2020",47.71,3.71,29.71,17.13,Clear.
"February 26, 2020",55.29,4.0,25.0,17.1,Clear.
"February 27, 2020",52.29,4.43,30.57,12.86,Haze.
"February 28, 2020",67.43,5.43,43.71,21.38,Passing clouds.
"February 29, 2020",33.43,5.0,50.43,17.14,Overcast.
"March 1, 2020",35.14,2.71,31.71,12.87,Fog.
"March 2, 2020",35.14,2.71,31.71,12.87,Fog.
"March 3, 2020",52.57,0.71,8.14,4.28,Fog.
"March 4, 2020",41.57,2.71,20.14,8.53,Haze.
"March 5, 2020",41.57,2.71,20.14,8.53,Haze.
"March 6, 2020",31.43,3.0,26.14,8.55,Fog.
"March 7, 2020",46.0,7.43,55.0,25.62,Light rain. Overcast.
"March 8, 2020",30.71,6.29,23.71,12.86,Fog.
"March 9, 2020",23.29,2.43,23.29,8.6,Overcast.
"March 10, 2020",32.71,3.71,23.57,12.82,Fog.
"March 11, 2020",41.29,0.43,7.57,4.28,Haze.
"March 12, 2020",51.43,8.14,48.0,21.34,Passing clouds.
"March 13, 2020",48.86,8.29,67.71,25.66,Light rain. Overcast.
"March 14, 2020",33.57,6.43,34.57,17.15,Overcast.
"March 15, 2020",51.71,3.57,27.43,12.88,Overcast.
"March 16, 2020",64.43,2.86,22.86,17.19,Haze.
"March 17, 2020",58.29,3.0,19.43,12.86,Clear.
"March 18, 2020",39.14,3.0,7.57,8.56,Passing clouds.
"March 19, 2020",67.86,5.14,30.29,17.12,Passing clouds.
"March 20, 2020",71.29,6.86,50.29,29.87,Clear.
"March 21, 2020",40.57,7.71,28.57,17.07,Partly sunny.
"March 22, 2020",54.0,7.86,58.14,21.4,Light rain. Overcast.
"March 23, 2020",29.43,3.71,11.29,8.54,Passing clouds.
