Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Islamabad,13082,7850,5103,33,4,16.75,57.71758496,-44.19578842,82.45443522,44.63922207,2407.34,129
7/3/2020,Islamabad,13195,8264,4802,37,6,27.5,57.34474939,-43.50122214,81.17125796,43.85217073,2376.28,129
7/4/2020,Islamabad,13195,8264,4802,27.33333333,14,44.25,56.97366286,-42.79387012,80.19281541,43.34623637,2345.81,129
7/5/2020,Islamabad,13292,8610,4552,29.75,9.5,55.25,56.60540099,-42.08215831,78.69179831,42.31218806,2314.7,130
7/6/2020,Islamabad,13494,9156,4201,32.75,12.5,47.75,56.24066492,-41.39475866,78.00447058,41.7593438,2282.447636,137
7/7/2020,Islamabad,13557,9403,4014,34.75,14.25,49.25,55.87988043,-40.76608748,77.17300553,41.47908258,2249.196329,140
7/8/2020,Islamabad,13650,9655,3855,30.33333333,12.25,43,55.52330045,-40.20804436,78.51505396,42.26485163,2215.559024,140
7/9/2020,Islamabad,13731,9939,3650,32.66666667,11,42.5,55.17110131,-39.70219563,77.19113607,41.21329924,2182.507743,142
7/10/2020,Islamabad,13829,10240,3443,32.66666667,48.25,43.5,54.82346439,-39.20768947,73.28560921,39.16101138,2151.196513,146
7/11/2020,Islamabad,13927,10441,3339,36.5,10.75,27,54.48063591,-38.67905144,70.86280177,37.84681587,2122.724728,147
7/12/2020,Islamabad,14023,10645,3226,26.75,12,65.5,54.14295979,-38.0938965,67.35947584,35.98877674,2097.858974,152
7/13/2020,Islamabad,14108,10883,3072,32.25,16.75,51,53.81088136,-37.47071016,65.159822,34.86298409,2076.78888,153
7/14/2020,Islamabad,14202,11327,2720,37,7.5,22.25,53.4849219,-36.84892891,63.23010394,33.75995681,2058.996088,155
7/15/2020,Islamabad,14315,11327,2833,31.5,9.25,30.75,53.1656268,-36.25246689,59.48934826,31.75025698,2043.28029,155
7/16/2020,Islamabad,14402,11486,2760,32.75,11.5,54.25,52.85349242,-35.67582344,53.90384264,28.60108417,2027.933811,156
7/17/2020,Islamabad,14402,11486,2760,29,1.75,16.5,52.5488788,-35.0925584,49.90051874,26.22435796,2011.033936,156
7/18/2020,Islamabad,14504,11708,2639,31.66666667,3.75,41,52.25191683,-34.47431164,45.841228,23.92177581,1990.803192,157
7/19/2020,Islamabad,14576,11836,2583,31,17,66,51.96241937,-33.81716787,41.83280273,21.61492998,1965.953615,157
7/20/2020,Islamabad,14599,11836,2604,29.5,8.5,29.75,51.6798056,-33.1626959,38.04089003,19.54890094,1935.875312,159
7/21/2020,Islamabad,14625,11912,2553,25.66666667,16.25,56.5,51.40304713,-32.58491537,34.50180916,17.7043325,1900.542376,160
7/22/2020,Islamabad,14701,12023,2517,27.5,2.5,35.75,51.1306424,-32.16179897,31.45573454,16.12918064,1860.137009,161
7/23/2020,Islamabad,14722,12023,2537,31.5,5.25,31.75,50.86062361,-31.96529759,28.54421864,14.59601567,1814.589448,162
7/24/2020,Islamabad,14766,12023,2581,34,6.25,29,50.59059786,-32.06428804,26.02437175,13.40344537,1763.33703,162
7/25/2020,Islamabad,14821,12139,2520,30.33333333,10.5,49.25,50.31782139,-32.53314439,24.19072634,12.43358511,1705.519507,162
7/26/2020,Islamabad,14841,12253,2425,28.5,5,39.5,50.03930333,-33.45533883,21.92813227,11.2768016,1640.601898,163
7/27/2020,Islamabad,14841,12253,2425,32.66666667,9.75,48,49.75193318,-34.9091292,20.51858098,10.46431,1569.192793,163
7/28/2020,Islamabad,14884,12253,2467,34,4.75,15.75,49.45262393,-36.9201963,19.56231723,10.00597072,1493.734083,164
7/29/2020,Islamabad,14938,12377,2396,32,10.25,32.25,49.13846094,-39.39341361,19.10928461,9.670519318,1418.748735,165
7/30/2020,Islamabad,14963,12377,2421,29,15,77.25,48.80684605,-42.07466841,18.56867237,9.354472029,1350.451607,165
7/31/2020,Islamabad,14987,12377,2445,30.25,16.75,72.25,48.45562575,-44.54882683,18.68293501,9.423855332,1295.727639,165
8/1/2020,Islamabad,15014,12494,2355,30.66666667,9.666666667,63.66666667,48.08319402,-46.32370929,19.4178735,9.738008544,1260.781511,165
8/2/2020,Islamabad,15014,12494,2355,31.75,8.25,60.75,47.68856203,-47.01746076,19.44919433,9.763321094,1249.897239,165
8/3/2020,Islamabad,15052,12589,2298,29.25,18.5,69.5,47.27139068,-46.49328461,18.81182582,8.905349348,1264.645042,165
8/4/2020,Islamabad,15095,12678,2250,30.75,9.25,64.25,46.83198489,-44.8456647,19.06986486,8.97154808,1303.618375,167
8/5/2020,Islamabad,15095,12678,2250,33.33333333,5.25,45.5,46.37125224,-42.33043171,19.47738155,9.10364058,1362.711349,167
8/6/2020,Islamabad,15122,12732,2223,37,9.75,34.5,45.89063116,-39.26825257,19.56411835,9.133976945,1435.934973,167
8/7/2020,Islamabad,15141,12833,2141,31.5,7.75,32.75,45.39199577,-35.97590433,20.07809728,9.370736223,1516.675474,167
8/8/2020,Islamabad,15182,12833,2179,36,4.25,13.5,44.87754634,-32.73625086,19.99330525,9.333390904,1599.029004,170
8/9/2020,Islamabad,15214,12878,2165,29.5,8.5,80.5,44.34969446,-29.78406976,19.83808097,9.274180563,1678.774505,171
8/10/2020,Islamabad,15241,12914,2156,29,1.75,19.5,43.81095226,-27.28009678,19.47063786,9.126609648,1753.743693,171
8/11/2020,Islamabad,15261,12969,2121,-69,0,0,43.26383414,-25.29009231,18.97339037,8.892537614,1823.676878,171
8/12/2020,Islamabad,15281,12995,2115,34.33333333,7.25,44.75,42.71077739,-23.80033575,18.33047821,8.576977526,1889.78378,171
8/13/2020,Islamabad,15323,13020,2130,30.75,28.25,74,42.15408635,-22.74604434,17.67849592,8.252353245,1954.202694,173
8/14/2020,Islamabad,15323,13020,2130,28,6,43.75,41.59590151,-22.02861943,17.02033042,7.951932462,2019.44968,173
8/15/2020,Islamabad,15342,13078,2091,31.66666667,8.75,57.25,41.03819278,-21.53569783,16.41031442,7.686971213,2087.901155,173
8/16/2020,Islamabad,15346,13100,2073,34,15,67.75,40.48277406,-21.1992075,15.07317034,7.054594908,2161.331186,173
8/17/2020,Islamabad,15390,13276,1941,32.66666667,15.25,51,39.93133455,-20.98473293,13.51887629,6.344576686,2240.550344,173
8/18/2020,Islamabad,15390,13276,1941,31.5,11,71.25,39.38548207,-20.86496507,12.31414633,5.783605927,2325.206428,173
8/19/2020,Islamabad,15401,13430,1796,30,13.25,75,38.84679274,-20.82890364,10.01791871,4.740216303,2413.803204,175
8/20/2020,Islamabad,15412,13612,1625,26.33333333,11.25,68.25,38.31686219,-20.89352488,8.644167195,4.113326896,2503.942457,175
8/21/2020,Islamabad,15425,13836,1414,27.33333333,11.5,58.75,37.79735318,-21.10569974,7.397564449,3.525442996,2592.753651,175
8/22/2020,Islamabad,15453,14101,1177,30.5,12,64.25,37.29003524,-21.53709478,6.373275807,3.052765479,2677.431267,175
8/23/2020,Islamabad,15472,14372,925,33,5,30.5,36.79681279,-22.26440883,5.348584862,2.566571597,2755.747211,175
8/24/2020,Islamabad,15515,14621,719,30.75,12.25,69,36.31973921,-23.32411387,4.409499296,2.126924562,2826.317159,175
8/25/2020,Islamabad,15515,14621,719,29.25,15.5,77,35.86101541,-24.67602992,3.567724007,1.72621793,2888.394591,175
8/26/2020,Islamabad,15531,14684,672,26,6.5,68,35.42297311,-26.19492761,2.954841469,1.445135205,2941.156831,175
8/27/2020,Islamabad,15546,14792,579,25,6,44.25,35.00804374,-27.67157646,2.427398741,1.193044757,2982.821048,175
8/28/2020,Islamabad,15562,14884,503,28,8.5,56.75,34.61871518,-28.8245088,2.078850236,1.026645462,3010.22114,175
8/29/2020,Islamabad,15578,14923,480,32,3.25,16.5,34.25747842,-29.33620853,2.097129568,1.038673217,3019.377958,175
8/30/2020,Islamabad,15597,14936,486,29,2.75,18,33.92676654,-28.95958303,2.302583746,1.139300812,3007.044866,175
8/31/2020,Islamabad,15611,14967,469,25.33333333,10.25,63.75,33.62888814,-27.67163333,2.758094934,1.369706162,2972.512498,175
9/1/2020,Islamabad,15625,14975,475,25,2.333333333,30.66666667,33.36595705,-25.68882865,3.434690883,1.716467075,2918.692879,175
9/2/2020,Islamabad,15649,15000,474,26.5,5,38.75,33.13982037,-23.31958993,4.282472399,2.155210294,2851.904259,175
9/3/2020,Islamabad,15689,15056,458,26.66666667,7.25,65,32.95198663,-20.86448465,5.499818523,2.77839183,2780.546701,175
9/4/2020,Islamabad,15714,15094,445,25.5,2.75,42,32.8035561,-18.56606832,6.642511143,3.36489336,2713.311198,175
9/5/2020,Islamabad,15726,15120,431,30.33333333,7,47.5,32.69515541,-16.59687446,7.766962998,3.942178004,2657.546617,175
9/6/2020,Islamabad,15726,15120,431,28.66666667,5.5,54.75,32.62687846,-15.05538964,8.677128585,4.38124316,2618.128014,175
9/7/2020,Islamabad,15750,15154,420,29,7.75,45,32.59823606,-13.95281701,9.445569133,4.767189278,2597.002939,176
9/8/2020,Islamabad,15762,15184,401,28.75,5.75,65,32.60811631,-13.22517708,10.08964901,5.094284041,2593.480788,177
9/9/2020,Islamabad,15780,15213,390,27,11,47.25,32.6547585,-12.77379637,10.61726155,5.347570027,2605.195685,177
9/10/2020,Islamabad,15804,15244,383,30.75,7.5,55.5,32.73574356,-12.49946255,11.02541942,5.548247364,2629.40418,177
9/11/2020,Islamabad,15832,15270,384,30.5,3.5,30.25,32.84800488,-12.32642973,11.30648077,5.688804169,2664.081543,178
9/12/2020,Islamabad,15862,15296,388,31.75,13.25,56.5,32.98786323,-12.21582566,11.49626213,5.76447187,2708.338139,178
9/13/2020,Islamabad,15901,15327,396,29,16,45.75,33.15108915,-12.16253696,11.62595555,5.806809871,2762.078141,178
9/14/2020,Islamabad,15941,15351,412,30,7.75,62.25,33.33299513,-12.16872778,11.70907157,5.848840662,2825.275961,178
9/15/2020,Islamabad,15962,15392,392,30.66666667,9.25,43,33.52855788,-12.21750548,11.71243501,5.847836534,2897.425801,178
9/16/2020,Islamabad,15984,15430,376,30.5,6.5,26.5,33.7325688,-12.27118672,11.55025148,5.774504765,2977.507768,178
9/17/2020,Islamabad,16005,15453,374,32.66666667,5.5,35,33.93980758,-12.2851937,11.44440588,5.706969516,3064.406645,178
9/18/2020,Islamabad,16033,15467,386,32.66666667,0,0,34.14523171,-12.22583969,11.23168994,5.582941874,3157.409654,180
9/19/2020,Islamabad,16086,15483,423,32.66666667,0,0,34.3441721,-12.09140819,11.11958621,5.49487224,3256.382331,180
9/20/2020,Islamabad,16124,15529,415,32.66666667,0,0,34.5325234,-11.91464165,10.63792238,5.240218193,3361.449822,180
9/21/2020,Islamabad,16162,15557,425,32.66666667,0,0,34.70691608,-11.73140949,10.39552667,5.097751516,3472.290132,180
9/22/2020,Islamabad,16207,15597,430,31.33333333,10.25,34.25,34.86485751,-11.55508736,9.853367227,4.822080677,3587.287,180
9/23/2020,Islamabad,16246,15629,437,29,2.75,13.25,35.00483049,-11.37919262,9.192118432,4.479566188,3702.806028,180
9/24/2020,Islamabad,16288,15646,461,32,8.5,33.75,35.1263402,-11.19007001,8.905888051,4.326098291,3812.869708,181
9/25/2020,Islamabad,16324,15676,467,29,12.5,55.25,35.22990475,-10.98159522,8.846241467,4.294251771,3909.582496,181
9/26/2020,Islamabad,16367,15718,468,26.5,5.5,23.5,35.31698927,-10.76717442,8.798471904,4.254003098,3984.565576,181
9/27/2020,Islamabad,16440,15755,504,34,2.25,9.75,35.38988827,-10.57283118,9.302947912,4.469929098,4031.222414,181
9/28/2020,Islamabad,16470,15795,494,26.66666667,4.25,45.5,35.4515655,-10.41194853,10.15487762,4.869425413,4046.964347,181
9/29/2020,Islamabad,16532,15826,525,28,6,39,35.5054633,-10.27829236,11.28860056,5.319779591,4034.256286,181
9/30/2020,Islamabad,16581,15865,534,27,3.666666667,35.33333333,35.55529521,-10.15918653,12.54587329,5.903102156,3999.879468,182
10/1/2020,Islamabad,16611,15916,513,27.66666667,9.25,38.75,35.60483576,-10.04510401,14.0337025,6.557163672,3952.866069,182
10/2/2020,Islamabad,16650,15947,521,29.66666667,6.25,32.5,35.65772071,-9.934441211,15.51267203,7.188236066,3902.169789,182
10/3/2020,Islamabad,16713,15983,547,27.25,8.5,42.25,35.71726955,-9.838151092,16.91260905,7.817877402,3854.972251,183
10/4/2020,Islamabad,16766,16034,549,26.25,7.25,44,35.78633992,-9.776658258,18.09638655,8.331318224,3815.91619,183
10/5/2020,Islamabad,16766,16034,549,26.75,8.25,45.25,35.86722087,-9.762914948,19.18464315,8.825733148,3787.160702,183
10/6/2020,Islamabad,16845,16113,548,26,4.5,45.5,35.96156923,-9.78932333,20.2241965,9.287262344,3769.040133,184
10/7/2020,Islamabad,16936,16153,599,27,4.75,46.25,36.07039011,-9.825288224,21.28689877,9.758570217,3761.100326,184
10/8/2020,Islamabad,17009,16206,616,27,4.75,50.5,36.19406018,-9.824084626,23.2387086,10.66881415,3763.161001,187
10/9/2020,Islamabad,17122,16249,685,26.5,12,49.75,36.33238965,-9.750525858,24.62825393,11.30260692,3775.951957,188
10/10/2020,Islamabad,17210,16279,743,26,7,50.5,36.48471701,-9.61185835,26.27437782,12.04147612,3800.986469,188
10/11/2020,Islamabad,17296,16319,789,26.75,6.5,46.25,36.65002914,-9.444593296,29.06749191,13.32209962,3839.700937,188
10/12/2020,Islamabad,17331,16367,775,27.66666667,6.25,36.75,36.82709832,-9.27954708,31.91394333,14.57814209,3892.257018,189
10/13/2020,Islamabad,17428,16403,836,24.75,7.25,62.75,37.01462652,-9.125566395,35.19380242,16.06022505,3956.502263,189
10/14/2020,Islamabad,17526,16448,889,24.5,7.5,53.5,37.21138683,-8.977175077,38.79586085,17.67778996,4027.449007,189
10/15/2020,Islamabad,17681,16486,1004,25,3.75,34,37.41635193,-8.821531703,42.49725215,19.376039,4097.44056,191
10/16/2020,Islamabad,17781,16550,1038,23,5.5,52,37.6288002,-8.643169124,46.05995654,20.99070386,4157.114604,193
10/17/2020,Islamabad,17913,16620,1099,29.5,2.25,19.75,37.84839156,-8.436792055,49.37198161,22.45648063,4197.166522,194
10/18/2020,Islamabad,17996,16672,1130,24.25,6.25,50.25,38.07520766,-8.214433851,52.23186825,23.74788753,4210.608671,194
10/19/2020,Islamabad,18069,16744,1130,23,1.5,28.5,38.30975377,-7.990088624,54.53860917,24.75676796,4194.719643,195
10/20/2020,Islamabad,18187,16807,1130,23.75,5.5,50,38.55292276,-7.772006376,56.32133105,25.4862513,4151.744766,195
10/21/2020,Islamabad,18309,16888,1222,18.66666667,2.75,48.5,38.80592449,-7.56984735,57.70731432,26.13654857,4087.93517,199
