Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Khyber Pakhtunkhwa,26938,13584,12381,38.5,9.25,40,39.79147598,-15.90897131,443.9877701,240.366314,2407.34,973
7/3/2020,Khyber Pakhtunkhwa,27170,14715,11472,39.5,11.25,32,39.33221982,-15.35779188,437.5253176,236.3698113,2376.28,983
7/4/2020,Khyber Pakhtunkhwa,27170,14715,11472,33.75,18.75,51,38.87876404,-14.81309895,430.0699428,232.4636353,2345.81,983
7/5/2020,Khyber Pakhtunkhwa,27506,15520,10984,33.5,12.5,49.25,38.43257765,-14.29171624,417.6780152,224.5833887,2314.7,1002
7/6/2020,Khyber Pakhtunkhwa,28116,16428,10660,34.5,10.25,39.75,37.99461776,-13.85021403,408.0657806,218.4561872,2282.447636,1028
7/7/2020,Khyber Pakhtunkhwa,28236,16549,10649,35.5,14.5,42,37.56537428,-13.55680872,396.7784351,213.2611703,2249.196329,1038
7/8/2020,Khyber Pakhtunkhwa,28681,17266,10370,36,18.25,38.75,37.14492205,-13.42787507,396.2854282,213.3214457,2215.559024,1045
7/9/2020,Khyber Pakhtunkhwa,29052,18791,9207,35,18.5,47.5,36.73297786,-13.4204092,382.7185452,204.3381498,2182.507743,1054
7/10/2020,Khyber Pakhtunkhwa,29406,19503,8840,37.5,12.5,48.25,36.32895958,-13.45510021,357.7098907,191.1464099,2151.196513,1063
7/11/2020,Khyber Pakhtunkhwa,29775,20271,8430,37.5,15.75,46.75,35.93204526,-13.44627005,341.6834901,182.4882987,2122.724728,1074
7/12/2020,Khyber Pakhtunkhwa,30078,20762,8229,30.5,19.75,60.5,35.54123049,-13.34058869,322.2890758,172.1923968,2097.858974,1087
7/13/2020,Khyber Pakhtunkhwa,30486,21158,8229,34.75,10.5,50.75,35.15538283,-13.15376853,311.0069704,166.400563,2076.78888,1099
7/14/2020,Khyber Pakhtunkhwa,30747,21312,8329,37.5,11.25,42.25,34.77329231,-12.93941915,302.825061,161.6850257,2058.996088,1106
7/15/2020,Khyber Pakhtunkhwa,31001,21607,8280,35.5,17.75,50.75,34.39371776,-12.72722377,287.5869798,153.488999,2043.28029,1114
7/16/2020,Khyber Pakhtunkhwa,31217,22260,7837,34,12.25,52.25,34.01542861,-12.51270635,264.5332986,140.3599218,2027.933811,1120
7/17/2020,Khyber Pakhtunkhwa,31217,22260,7837,33.5,14.5,59.5,33.63724211,-12.26888113,249.9439005,131.353711,2011.033936,1120
7/18/2020,Khyber Pakhtunkhwa,31669,22873,7666,35,11,58.75,33.25805636,-11.95869899,235.559676,122.9244068,1990.803192,1130
7/19/2020,Khyber Pakhtunkhwa,31890,24588,6163,37.5,16.5,45.75,32.87687959,-11.56215946,221.5989622,114.4997643,1965.953615,1139
7/20/2020,Khyber Pakhtunkhwa,32086,25006,5938,35.75,18.25,51.5,32.49285612,-11.12046134,208.6531947,107.225163,1935.875312,1142
7/21/2020,Khyber Pakhtunkhwa,32243,25367,5729,30.5,19,58.75,32.10528963,-10.72068687,196.6883389,100.9290769,1900.542376,1147
7/22/2020,Khyber Pakhtunkhwa,32523,25582,5788,33.5,12.75,53.5,31.71366417,-10.43800874,186.9010037,95.83499146,1860.137009,1153
7/23/2020,Khyber Pakhtunkhwa,32753,25713,5882,35.25,12.25,51.25,31.31766286,-10.31494686,177.0233491,90.52045215,1814.589448,1158
7/24/2020,Khyber Pakhtunkhwa,32898,26607,5122,36,13.5,54.75,30.91718415,-10.37165399,168.4102292,86.7370528,1763.33703,1169
7/25/2020,Khyber Pakhtunkhwa,33071,26869,5032,34.5,14.25,54,30.51235523,-10.62356932,162.95818,83.75748509,1705.519507,1170
7/26/2020,Khyber Pakhtunkhwa,33220,27017,5027,34,16.75,59.75,30.10354197,-11.10321381,153.0370401,78.70110951,1640.601898,1176
7/27/2020,Khyber Pakhtunkhwa,33220,27017,5027,35.5,14.75,63.75,29.69135481,-11.88382782,147.2844707,75.11388638,1569.192793,1176
7/28/2020,Khyber Pakhtunkhwa,33397,27119,5100,37,13.75,58,29.27664981,-13.04307145,143.0447015,73.16623481,1493.734083,1178
7/29/2020,Khyber Pakhtunkhwa,33510,27196,5134,36.5,15.25,55.75,28.86052397,-14.58101008,140.7166231,71.21160474,1418.748735,1180
