Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Punjab,77740,28266,47690,37.25,11,50.75,54.75805276,-24.83069286,1016.900435,550.5300498,7972.97,1784
7/3/2020,Punjab,78956,33786,43351,40,11.5,46.25,54.30038125,-24.33565371,974.9351572,526.7014956,7942.24,1819
7/4/2020,Punjab,78956,33786,43351,35.25,26.25,65.75,53.83984553,-23.75170366,935.3675709,505.5897291,7915.73,1819
7/5/2020,Punjab,80297,42854,35599,30.25,13.25,71.25,53.37795441,-23.08849937,889.4064011,478.2293926,7891.2,1844
7/6/2020,Punjab,81963,45122,34957,33,8.25,63.25,52.91579748,-22.42275685,853.0552992,456.679332,7867.48,1884
7/7/2020,Punjab,82669,47054,33716,34.75,10.75,59.25,52.45410574,-21.85406777,815.979102,438.5738812,7843.947619,1899
7/8/2020,Punjab,83599,50916,30754,32,16.75,64.75,51.99331671,-21.43045788,802.5920987,432.0373516,7819.988721,1929
7/9/2020,Punjab,84587,51450,31182,33.5,10.5,62.75,51.53364061,-21.13638436,763.2993953,407.5349579,7794.817048,1955
7/10/2020,Punjab,85261,52641,30648,37.5,15.75,55,51.07512393,-20.91326036,701.8218055,375.0265845,7767.431715,1972
7/11/2020,Punjab,85991,53836,30170,31.75,25.25,70.5,50.61770783,-20.68553317,658.2801243,351.5780639,7736.797305,1985
7/12/2020,Punjab,86556,55175,29375,28,20.5,79.25,50.16127923,-20.39966443,608.2421211,324.9712031,7702.137087,2006
7/13/2020,Punjab,87043,58023,27007,33.75,11.75,63.25,49.70571309,-20.06929992,573.3848819,306.7827291,7663.218138,2013
7/14/2020,Punjab,87492,63977,21489,35.5,13.5,60.25,49.25090538,-19.74584989,543.875156,290.3870251,7620.498352,2026
7/15/2020,Punjab,88045,64148,21854,33.25,21,64.75,48.79679656,-19.4510674,501.9697547,267.9079395,7575.068939,2043
7/16/2020,Punjab,88539,64247,22241,31,14,75.5,48.34338625,-19.16854258,448.0347649,237.7247965,7528.426653,2051
7/17/2020,Punjab,88539,64247,22241,31.75,13.5,73.25,47.89074002,-18.8578144,410.4445722,215.702074,7482.159395,2051
7/18/2020,Punjab,89465,65009,22389,34.5,15.25,66.5,47.43898963,-18.47129954,375.0052356,195.6926454,7437.607147,2067
7/19/2020,Punjab,89793,65436,22278,31.5,18.75,75.25,46.9883282,-17.9877914,342.1416209,176.7839278,7395.473169,2079
7/20/2020,Punjab,90191,65689,22419,29.5,22.25,80.75,46.53900186,-17.46194688,312.6935883,160.6906667,7355.291383,2083
7/21/2020,Punjab,90444,66021,22333,27.25,17.5,80.75,46.09129926,-17.00608306,286.4128369,146.9704986,7314.665678,2090
7/22/2020,Punjab,90816,66425,22296,30.75,11,66.75,45.64554028,-16.72578577,264.7454898,135.7503772,7268.405621,2095
