Date,Province_State,Confirmed Cases (n),Recovered Cases (n),Active Cases (n),Temp (DegC),Wind (Km/Hr),Hum (%),Mask Use (%),Change in Mobility / Soc Dis (%),ICU Beds Needed (n),Ventilators Needed (n),Test Conduct (n),Deaths (n)
7/2/2020,Sindh,86795,48527,36862,35.75,14.75,59,51.68625371,-33.80528763,1156.995007,626.374517,9446.260221,1406
7/3/2020,Sindh,89225,49926,37862,34.75,19.5,58.25,51.28556161,-33.57088402,1181.633359,638.3686679,9648.206147,1437
7/4/2020,Sindh,89225,49926,37862,34.75,17.5,63.5,50.88530357,-33.2957865,1206.776931,652.2933236,9832.924756,1437
7/5/2020,Sindh,90721,50908,38354,34.5,23.5,61,50.48699386,-32.92363421,1219.877231,655.921912,9983.271837,1459
7/6/2020,Sindh,94528,53165,39837,35,14,66.25,50.0916493,-32.44849857,1241.412852,664.5848075,10090.83784,1526
7/7/2020,Sindh,96236,53855,40809,33.75,15.75,70.5,49.6998314,-31.89709255,1256.759632,675.4853747,10155.31879,1572
7/8/2020,Sindh,97626,54676,41336,34,11.5,70,49.31169905,-31.30364081,1305.028441,702.500102,10181.53096,1614
7/9/2020,Sindh,99362,56373,41352,34,14,68.25,48.92706869,-30.69778568,1307.675918,698.1842951,10175.40263,1637
7/10/2020,Sindh,100900,57627,41596,33.75,12.5,67.75,48.54547905,-30.10688215,1265.087758,676.0142494,10140.85416,1677
7/11/2020,Sindh,102368,59165,41490,33.5,25.5,66.75,48.16625769,-29.54242284,1247.744817,666.4027834,10079.00409,1713
7/12/2020,Sindh,103836,60439,41650,32.5,30.25,66,47.78858678,-29.01620907,1212.516316,647.8224252,9989.768468,1747
7/13/2020,Sindh,105533,61958,41780,33.25,16,65.5,47.41156623,-28.57854448,1203.261306,643.7905826,9874.664138,1795
7/14/2020,Sindh,106622,63829,40967,33.75,18.75,61.75,47.03427223,-28.2775237,1203.328304,642.4837072,9739.250444,1826
7/15/2020,Sindh,107773,65420,40490,34.25,16.75,61,46.65580992,-28.10266837,1172.704551,625.888028,9594.138877,1863
7/16/2020,Sindh,108913,70292,36733,34.5,17.25,60.25,46.27535918,-27.97845258,1106.104404,586.8929492,9454.288316,1888
7/17/2020,Sindh,108913,70292,36733,35,22.75,61.25,45.89221282,-27.78628325,1070.573243,562.6213247,9336.779819,1888
7/18/2020,Sindh,111238,88103,21183,34.75,15.25,64.25,45.50580681,-27.41890383,1031.86495,538.4681668,9257.541066,1952
7/19/2020,Sindh,112118,91383,18761,33.25,11.25,66.25,45.11574269,-26.8696232,990.1348825,511.6008194,9227.662626,1974
7/20/2020,Sindh,113007,92037,18977,33,26.75,68,44.72180219,-26.2574679,947.1882909,486.752283,9250.143578,1993
7/21/2020,Sindh,113553,92934,18600,32.5,25,72.25,44.32395466,-25.74372866,902.1596353,462.936134,9317.762419,2019
7/22/2020,Sindh,114104,94297,17766,32.75,16.5,62.75,43.92235781,-25.43594966,860.2271671,441.0883921,9412.555859,2041
7/23/2020,Sindh,115213,96226,16927,33.75,24.25,60.75,43.51735229,-25.36243586,811.1162274,414.7622787,9507.209111,2060
7/24/2020,Sindh,115883,100002,13785,34,22.25,60.25,43.10945085,-25.47756158,761.6477007,392.2747278,9568.836216,2096
7/25/2020,Sindh,116800,103491,11199,33.75,16.25,63.25,42.69932258,-25.68919907,721.0773557,370.6204,9565.394547,2110
7/26/2020,Sindh,117598,104019,11444,31.25,10,79.25,42.28777312,-25.91968856,656.8878729,337.8123648,9473.956341,2135
7/27/2020,Sindh,117598,104019,11444,31,11,80,41.87572132,-26.20593015,608.3783964,310.2680514,9288.261896,2135
7/28/2020,Sindh,118311,107403,8757,32.25,20.75,71.5,41.46417329,-26.73045173,564.6317334,288.8046711,9022.313042,2151
7/29/2020,Sindh,118824,108480,8182,32.25,27,70.25,41.05419456,-27.69591733,527.8814792,267.1417662,8708.121305,2162
7/30/2020,Sindh,119398,108989,8237,32.75,15.5,69,40.64688103,-29.17793052,483.1059435,243.3777141,8388.573113,2172
7/31/2020,Sindh,120052,109544,8319,33.25,13.5,66,40.24332949,-31.03251697,451.4659734,227.723857,8108.157851,2189
8/1/2020,Sindh,120550,110233,8108,34,16,63.25,39.84460852,-32.91057805,431.2074543,216.2493166,7904.438104,2209
8/2/2020,Sindh,120550,110233,8108,34,15.5,60.75,39.45173058,-34.42985742,394.4235783,197.9970984,7801.919319,2209
8/3/2020,Sindh,121309,110922,8164,33.75,20,64.5,39.065626,-35.39279736,347.9705418,164.7261285,7808.901112,2223
